,GLON,GLAT,proba_BLL,proba_FSRQ,label
0,307.70898,-42.729538,0.9582863781671375,0.041713621832862514,BLLlike
1,109.38164,-36.411484,0.9632944768628574,0.036705523137142544,BLLlike
2,111.004486,-30.771994,0.9657315879971008,0.03426841200289924,BLLlike
16,114.974655,-38.41322,0.9219643660040349,0.0780356339959651,BLLlike
18,104.761604,-69.51759,0.9700910926851212,0.02990890731487885,BLLlike
19,70.318275,-84.105675,0.9421272942314936,0.057872705768506456,BLLlike
21,121.13443,1.8261667,0.9794793302204441,0.020520669779555946,BLLlike
22,100.58408,-79.825195,0.9627360360306878,0.03726396396931223,BLLlike
24,121.53531,0.12189149,0.9414832747344994,0.05851672526550051,BLLlike
26,112.1175,-83.1215,0.9427748221002454,0.05722517789975452,BLLlike
27,303.49277,-46.309517,0.9348774567552534,0.06512254324474664,BLLlike
28,303.44296,-53.33411,0.9882089562883235,0.011791043711676509,BLLlike
29,123.01039,1.8703632,0.9457370662787834,0.054262933721216586,BLLlike
30,123.732124,-17.740635,0.9673673179680338,0.03263268203196627,BLLlike
32,123.66344,0.57604647,0.9485587399274825,0.05144126007251745,BLLlike
36,300.84314,-54.403248,0.9323386891918279,0.06766131080817205,BLLlike
37,124.92797,-17.86201,0.9703943463682428,0.02960565363175711,BLLlike
38,127.39341,-52.764793,0.9861855561881834,0.0138144438118166,BLLlike
39,132.989,-70.92556,0.9104185320642217,0.08958146793577829,BLLlike
40,127.72831,-27.977003000000003,0.924671109969491,0.07532889003050904,BLLlike
41,236.6043,-84.2885,0.9831499395554054,0.016850060444594583,BLLlike
43,296.8381,-56.66605,0.9350294718080245,0.06497052819197542,BLLlike
47,297.91083,-49.010098,0.9476989324709506,0.052301067529049415,BLLlike
49,290.05676,-62.33528,0.9672517336052237,0.03274826639477636,BLLlike
51,244.7201,-78.62133,0.9097819692741707,0.09021803072582933,BLLlike
52,192.49397,-78.132126,0.9604838660404891,0.03951613395951097,BLLlike
53,126.94713,8.414599,0.9805203359388421,0.0194796640611579,BLLlike
57,132.83993999999998,-12.919026,0.9822689905677954,0.017731009432204587,BLLlike
58,131.96813999999998,-7.508969,0.9193197917134822,0.08068020828651781,BLLlike
59,153.99018999999996,-58.14662,0.989386095943116,0.010613904056884019,BLLlike
62,138.85968,-27.553938,0.9252506804093633,0.07474931959063665,BLLlike
63,140.86646000000005,-30.656414,0.9777763371574106,0.02222366284258933,BLLlike
65,143.97766,-33.213352,0.915586355448133,0.08441364455186695,BLLlike
72,128.05937,15.830147,0.9519940404539878,0.048005959546012195,BLLlike
74,145.00188,-23.465021,0.9736411169332796,0.02635888306672037,BLLlike
76,138.82658,-6.920497,0.9661800508704343,0.03381994912956569,BLLlike
81,201.90068,-61.187057,0.9885079495214757,0.01149205047852429,BLLlike
85,170.74868999999995,-44.826824,0.962716129185157,0.03728387081484298,BLLlike
87,151.80461,-21.519827,0.9793371741962863,0.0206628258037137,BLLlike
89,135.96774,6.464967700000001,0.9773876946722379,0.022612305327762195,BLLlike
91,191.49574,-52.37003,0.9684791780353309,0.03152082196466911,BLLlike
92,162.51157,-31.580492,0.9393339314741439,0.06066606852585613,BLLlike
96,259.68732,-55.260857,0.9626743928388471,0.0373256071611528,BLLlike
97,161.34569,-24.651138,0.9612080483459925,0.038791951654007485,BLLlike
100,197.75139,-49.97398,0.9173571944951348,0.08264280550486526,BLLlike
104,222.41309,-54.09932,0.909136277430869,0.09086372256913097,BLLlike
105,133.08284,15.5278635,0.9675180096012292,0.03248199039877081,BLLlike
109,277.24048,-44.547157,0.957497684206854,0.042502315793146055,BLLlike
111,278.07047,-43.70364,0.9701424424415073,0.02985755755849268,BLLlike
114,165.06317,-15.846429,0.9769563429394196,0.023043657060580456,BLLlike
116,267.7967,-44.4116,0.9187981781255422,0.08120182187445778,BLLlike
117,169.287,-18.876911,0.9565813720391848,0.04341862796081522,BLLlike
118,241.17305,-47.41337,0.9481326403307303,0.051867359669269676,BLLlike
121,155.9795,-4.0844064,0.9286731778317359,0.07132682216826416,BLLlike
122,147.84787,4.502063,0.9654168275514071,0.03458317244859291,BLLlike
123,247.90213,-46.22139,0.9614623930026049,0.03853760699739503,BLLlike
124,141.52463,11.549909,0.9505611652611806,0.04943883473881938,BLLlike
125,204.1875,-37.316967,0.9601041851402131,0.03989581485978692,BLLlike
131,168.1489,-10.0205345,0.9683514128915078,0.031648587108492214,BLLlike
132,170.8893,-11.945811,0.982833097259468,0.017166902740531984,BLLlike
133,286.03894,-35.183907,0.9757434347274128,0.024256565272587224,BLLlike
134,247.29578,-41.943344,0.922983648969355,0.07701635103064496,BLLlike
138,237.51018,-40.132076,0.9195153337399341,0.0804846662600659,BLLlike
144,142.83818,15.154042,0.9790534056061039,0.020946594393896095,BLLlike
145,262.0749,-37.85432,0.9744278759241006,0.02557212407589939,BLLlike
146,173.581,-7.042043700000002,0.9818017750403665,0.018198224959633576,BLLlike
147,157.9172,5.7684875,0.9885704712134812,0.011429528786518863,BLLlike
149,172.27283,-3.4122436,0.9680496067752439,0.03195039322475609,BLLlike
150,223.49472000000003,-31.05827,0.9227672306828977,0.07723276931710232,BLLlike
151,228.18494,-29.828896000000004,0.9689062142838425,0.03109378571615749,BLLlike
152,295.53348,-29.492304,0.9003831535695302,0.09961684643046978,BLLlike
154,145.55891,17.063442000000002,0.9434461399826545,0.056553860017345484,BLLlike
163,215.56586,-22.109112,0.9714907747513046,0.028509225248695393,BLLlike
165,173.39816000000005,2.4336996,0.9018125134338062,0.09818748656619382,BLLlike
168,198.3665,-12.429696,0.9404699470049547,0.05953005299504528,BLLlike
171,300.43027,-27.781254,0.9195364198354662,0.08046358016453382,BLLlike
175,152.54977,15.737077,0.9933277457690559,0.00667225423094408,BLLlike
176,213.75029,-18.678402,0.910260322573851,0.08973967742614895,BLLlike
178,250.34694,-28.998217,0.9803697808847562,0.01963021911524373,BLLlike
183,258.22327,-29.532024,0.9596350080711411,0.04036499192885891,BLLlike
184,214.26372,-16.652565,0.9855512896062046,0.014448710393795312,BLLlike
185,209.02574,-14.076961,0.9322016145875384,0.06779838541246168,BLLlike
188,226.81735,-20.877516,0.9700333272045748,0.029966672795425146,BLLlike
190,269.95184,-29.485565,0.968716405838285,0.031283594161715014,BLLlike
193,256.91864,-26.58731,0.9682425733037218,0.031757426696278256,BLLlike
194,254.97485,-26.120237,0.9557561948913148,0.04424380510868519,BLLlike
195,236.06233,-20.94384,0.9535955540176068,0.04640444598239321,BLLlike
201,189.18173,3.7160628,0.9930170041325618,0.006982995867438208,BLLlike
203,258.80237,-25.318722,0.9194051377455348,0.08059486225446526,BLLlike
206,144.11327,23.350372,0.9780208820621762,0.021979117937823853,BLLlike
