,GLON,GLAT,proba_BLL,proba_FSRQ,label
3,116.52632,-5.0228662,0.8513232302060569,0.14867676979394306,Otherlike
4,336.9915,-73.84534000000002,0.7356536172865873,0.2643463827134127,Otherlike
5,118.60844,5.282127,0.7633141317162677,0.23668586828373223,Otherlike
6,114.92035,-15.869719,0.7334221985316862,0.2665778014683137,Otherlike
7,119.14811,6.885729,0.7978531619931686,0.20214683800683145,Otherlike
8,110.91511,-36.72459,0.21699938171784816,0.7830006182821518,Otherlike
9,319.3951,-65.54536,0.8282598265590416,0.1717401734409584,Otherlike
10,119.10994,6.235327,0.4838676040959967,0.5161323959040033,Otherlike
11,108.90927,-43.96513,0.40988529061959533,0.5901147093804047,Otherlike
12,83.705765,-73.91203,0.8229021569651385,0.17709784303486156,Otherlike
13,320.38864,-69.86521,0.7801100413540389,0.21988995864596111,Otherlike
14,309.86963,-57.381134,0.21830601821877804,0.781693981781222,Otherlike
15,321.8499,-73.93347,0.8289509884379488,0.17104901156205124,Otherlike
17,314.39056,-67.90782,0.7977218711209376,0.20227812887906235,Otherlike
20,308.3834,-60.11082,0.87975397111124,0.12024602888875997,Otherlike
23,36.389965,-86.83259,0.7631881941392933,0.23681180586070677,Otherlike
25,120.615395,-20.753937,0.8457094866440524,0.1542905133559475,Otherlike
31,123.49776,5.3709292,0.7489951103711723,0.25100488962882767,Otherlike
33,123.53306,6.396929,0.6655017120515756,0.3344982879484244,Otherlike
34,299.2362,-71.02254,0.826761496698869,0.17323850330113094,Otherlike
35,300.73035,-60.18506,0.22001901651756817,0.7799809834824318,Otherlike
42,125.19039,6.481079599999998,0.5334182595013377,0.4665817404986623,Otherlike
44,136.17094,-57.039967,0.6901130676939276,0.30988693230607245,Otherlike
45,301.32455,-37.297035,0.6220091268618939,0.3779908731381061,Otherlike
46,296.34128,-53.627823,0.8845948604073663,0.11540513959263363,Otherlike
48,133.17609,-37.95704,0.30518095233194853,0.6948190476680515,Otherlike
50,154.01998999999995,-70.31441,0.40448777081977516,0.5955122291802248,Otherlike
54,280.91638,-67.46981,0.7385743938486139,0.2614256061513861,Otherlike
55,127.93481,4.459727,0.8596881433140282,0.14031185668597182,Otherlike
56,129.50565,-2.1973364,0.8320679124712077,0.16793208752879227,Otherlike
60,205.71896,-75.13678,0.8999438563984543,0.10005614360154569,Otherlike
61,147.38742,-47.16051,0.834446780422258,0.1655532195777421,Otherlike
64,130.0389,5.082897,0.7779433198512324,0.22205668014876756,Otherlike
66,132.09172,0.885798,0.8280536501452043,0.17194634985479568,Otherlike
67,134.92581,-7.630408999999998,0.8431335998909293,0.15686640010907077,Otherlike
68,278.26434,-59.439705,0.8290596419486009,0.170940358051399,Otherlike
69,137.51425,-9.997538,0.8770184409580474,0.12298155904195264,Otherlike
70,146.1344,-28.999453000000006,0.6466875780343395,0.35331242196566043,Otherlike
71,278.4642,-56.925102,0.7128389825172599,0.2871610174827402,Otherlike
73,154.16728,-39.57315,0.7986672541107218,0.20133274588927813,Otherlike
75,136.81866000000002,-3.1947489,0.30503831849128726,0.6949616815087127,Otherlike
77,133.35676999999998,5.912753,0.8336134274005245,0.16638657259947548,Otherlike
78,174.55476000000004,-54.39060600000001,0.6138956493861245,0.38610435061387555,Otherlike
79,141.86678999999995,-10.73122,0.5676739555782486,0.4323260444217514,Otherlike
80,264.79352,-59.122177,0.6341551835066923,0.36584481649330775,Otherlike
82,241.66917,-62.75466,0.8861210337146115,0.11387896628538847,Otherlike
83,219.9578,-63.16685500000001,0.3639676075130288,0.6360323924869712,Otherlike
84,133.05244,10.397166,0.8052672938372747,0.19473270616272537,Otherlike
86,273.40692,-52.71015500000001,0.8862957907946677,0.11370420920533231,Otherlike
88,139.97336,-1.1731087,0.8429453062516552,0.15705469374834485,Otherlike
90,258.67087000000004,-56.538757,0.8915216886944204,0.10847831130557957,Otherlike
93,291.90625,-38.78273400000001,0.6677276702776198,0.33227232972238024,Otherlike
94,157.3119,-24.727674,0.8893021310157364,0.11069786898426363,Otherlike
95,144.81888,-6.147501,0.38938935664376173,0.6106106433562383,Otherlike
98,257.45047,-53.26914,0.8533600182086727,0.14663998179132734,Otherlike
99,140.70706,3.9219084,0.7110748464549488,0.2889251535450512,Otherlike
101,146.91196000000005,-4.6963550000000005,0.6828340507175906,0.3171659492824094,Otherlike
