,RAJ2000,DEJ2000,GLON,GLAT,PL_Index,LP_Index,PLEC_Index,Variability_Index,Signif_Avg,PL_Flux_Density,LP_Flux_Density,PLEC_Flux_Density,Unc_Energy_Flux100,LP_SigCurv,PLEC_SigCurv,PL_hr12,PL_hr23,PL_hr34,PL_hr45,PL_hr56,LP_hr12,LP_hr23,LP_hr34,LP_hr45,LP_hr56,PLEC_hr12,PLEC_hr23,PLEC_hr34,PLEC_hr45,PLEC_hr56,PSRness
1,-1.72828,1.1394799,-0.6391558,-0.39964598,-0.08107414,0.10778496,0.69235104,-0.025708506,-0.4575425,-0.84174556,-0.8839493,-0.89197636,-0.6569236,-1.7006662,-2.0247457,1.7624579165776812,-0.2399474228081435,-0.4265720850852069,-0.22388899948176352,1.1210969428186115,1.7617442863542745,-0.23895730200765178,-0.42761191835583295,-0.22335250110166727,1.1208584118957652,1.7594410082919338,-0.2327395819411528,-0.4343680384111648,-0.22055313286280978,1.1192706315573895,Non-PSR
2,-1.7282556,-0.2543394,-0.88710785,-1.6938161,-0.25034505,-0.054249927,0.44979325,-0.04271778,0.11908708,0.48097718,0.44571203,0.4443978,-0.0027039263,-0.022145186,-0.07499273,-0.05157578700447285,-0.3088251988670584,0.5574369422759565,-0.327178653647418,0.33950510664119093,-0.051869991773534484,-0.3081388965753385,0.5564667150359324,-0.3268360297852603,0.3395997057499889,-0.05368682739384015,-0.30403420022605415,0.5541841460647277,-0.325535208957181,0.3396162469406286,Non-PSR
3,-1.7276074,0.47457254,-0.70405895,-1.0307543,1.548834,1.2406363,0.85504395,2.727236,0.36518723,2.0773191,2.074911,2.07412,0.4052108,1.085078,1.0651445,-0.6061927539324943,-1.0383133948287948,-1.7521957667537655,-1.6781506266578325,-0.650445072743949,-0.6051170961655038,-1.0396922869916554,-1.7516544104525607,-1.6773475515879208,-0.6498955726022289,-0.6008925676027489,-1.042879471647322,-1.7540719856134035,-1.674485066701169,-0.6474609122874038,Non-PSR
4,-1.7272656,-1.1121249,1.5237702,-1.8092289,-1.3150545,-0.9006603,-0.015457936,-0.18428364,-0.23166233,-0.866397,-0.90820575,-0.9104682,-0.49520668,-1.1113272,-0.8774079,-1.1942848780848614,0.9330638842975717,1.1320100943861353,0.5588861788757719,1.0893607332310964,-1.1951093374365445,0.9344113434551425,1.1305544448241631,0.5594506847269733,1.089162290458129,-1.1990582584371845,0.9387288887951944,1.1274636681683472,0.561919807298263,1.0878231816111616,Non-PSR
5,-1.7260815,-1.753531,1.2863985,-1.2456672,-1.4219713,-1.1819388,-0.6975186,-0.40358892,-0.22873536,-1.1297449,-1.096722,-1.1091869,-0.71643,0.3014295,0.3522023,-0.40310113464828073,1.4309795165628152,0.5774376195729446,1.3369682169464625,0.18604476122697425,-0.4026508224276208,1.431432295521687,0.577803379726605,1.336732261814984,0.18681216155538677,-0.40325092306991883,1.4320601693968051,0.5779998318486376,1.3365303286678243,0.1880633679056601,Non-PSR
7,-1.7243018,1.5063702,-0.6089678,-0.050563443,0.84842414,0.5562204,-1.0271354,-0.92748374,0.27202037,0.8943364,0.9709705,0.9720403,1.4695103,1.6217211,1.6057342,0.7686594671905651,0.06496741124313764,-0.8269712553767163,-1.5989923936240151,-1.0806829042975992,0.7703103483683764,0.06192889180382743,-0.8241784892206553,-1.598443468622042,-1.080971618410367,0.779903015022466,0.04366820430532612,-0.8094332857895717,-1.5969079481540498,-1.081645313463503,PSR
8,-1.7237004,-1.3850604,1.373957,-1.5834726,-1.2750107,-0.9952429,-0.29269838,-0.8104012,-0.16743857,-0.93268114,-0.94304717,-0.949076,-0.5024317,-0.12502614,0.033785984,-0.9565743946294407,0.6389726606074915,0.7859975091142188,0.9135616487677619,0.5590604003367975,-0.9567095214213427,0.6391735566076432,0.7858100851811646,0.9134005083420518,0.5595895272785524,-0.9591847140834753,0.6416425945236892,0.7844727860357508,0.9141706447880923,0.5598016258723507,Non-PSR
9,-1.7234651,0.4974809,-0.69629914,-1.0115286,0.18056902,-4.52305,-3.0948076,-0.9225957,-0.45747048,-0.8251435,-0.9421906,-0.849048,-0.3566472,0.14364056,0.11658063,-1.1975660793320257,-2.2033679445886283,2.9466929869893503,-0.9764374078869862,-1.0892688156867336,-1.1903024594357334,-2.208328912809437,2.9499381033024057,-0.9830158794175169,-1.0895856521232201,-1.1991164141008128,-2.196061564037533,2.9464914066179912,-0.9761033965049734,-1.0904051261507444,Non-PSR
11,-1.7230678,-0.5475205,-1.121466,-1.920461,0.061546825,-0.32510296,-1.2891191,0.59134454,-0.20635529,0.27217662,0.3278834,0.33165765,-0.7324695,0.7242578,0.6919834,0.7843134874109257,0.17953763683937032,-0.2820188458882106,-0.9022174408578554,-1.0845258871482872,0.7870249615868028,0.17441261958417745,-0.27662571270057623,-0.9044323254416765,-1.0848201587278827,0.7913829010608461,0.16606102431397268,-0.26844428983680385,-0.9079339503774223,-1.085592856034215,Non-PSR
12,-1.7230501,-1.5430274,1.327244,-1.4411947,0.47670743,0.5449527,0.5103944,-1.1436998,-0.40470788,-0.23421186,-0.28197655,-0.2600105,-1.134538,-1.4263223,-0.43657473,-1.2225294584920794,0.19345524461655839,0.3550049708450779,-1.679353769911858,0.6948962409722972,-1.2233325555413834,0.19442797342312806,0.3539313312704645,-1.6785465786638936,0.6948534237024814,-1.2235451957834234,0.19142252160514492,0.35824131086206995,-1.6756713047913752,0.6982894809280671,Non-PSR
14,-1.7215829,-0.355529,-0.9307378,-1.7859329,-0.32007188,-0.35299408,-0.73926187,-0.92434907,-0.2698962,-0.2329592,-0.17185365,-0.18092796,-0.68128234,0.55701864,0.5271801,0.26632129496672474,0.4860145116267834,-0.17167447951837156,0.21054884317331146,-1.0892978539452145,0.26771482436470745,0.4843767781704818,-0.16971352885560995,0.20887485258233277,-1.0896150583522937,0.2723066399693074,0.4778215924655879,-0.1632067484779035,0.2024064934075001,-1.0904343230298519,Non-PSR
16,-1.7214979,0.15948296,-0.7448972,-1.3295813,-0.40734434,-1.1886389,-1.2037365,-0.47496158,-0.3769098,-0.59861326,-0.54077524,-0.55835015,-0.6105318,0.2405286,0.26458547,-1.252160338405002,1.0875216157919714,0.9002990907825197,-1.1569118162882703,0.7045141762690631,-1.2488089167668819,1.0806190494270138,0.9088867987343188,-1.1593333103467653,0.7096529090057646,-1.2501913932586939,1.0796071342134814,0.9115448038858994,-1.158544401604726,0.7117631114632595,Non-PSR
17,-1.720504,-1.2548354,1.4230814,-1.6995046,0.6517516,0.5965869,0.68974245,1.3354977,0.008960753,0.7280981,0.6993714,0.7031767,-0.566168,0.10821472,0.30502298,-0.5451761526973911,-0.4803625131564003,-0.28796057358852584,-0.847062415580992,-1.0879162624519876,-0.5449094233912363,-0.48071624592889084,-0.28762643781074143,-0.8471189036567418,-1.088231567365811,-0.5445522900520054,-0.480177250979541,-0.2875790139619691,-0.8472952605220341,-1.0890449923715264,Non-PSR
20,-1.7167015,0.9062288,-0.64916456,-0.6262739,1.5035907,1.3317189,0.756816,0.18011987,-0.13232993,1.2855341,1.2897211,1.2932752,0.016959775,0.4797763,0.45922986,-0.6262266761666451,-1.1080434701737554,-1.4364554105486247,-1.4906451092352628,-1.080284539065943,-0.6264214413557015,-1.107740827993574,-1.4369380751880263,-1.4899901077491406,-1.0805935983923651,-0.6201896139290464,-1.1132536812599918,-1.434541077380022,-1.4891376813622006,-1.081314089893454,Non-PSR
21,-1.7157193,-0.2179684,-0.84173757,-1.6772056,-0.17499256,-0.18671565,-0.7286733,0.010096951,-0.45978078,-0.7520278,-0.67971534,-0.69052297,-0.93852675,-0.009508053,-0.028417367,-0.133977993412677,-0.35707150749206,1.1937102887825466,-0.07839079961748541,-1.088602655806869,-0.13282359731131926,-0.358515272807852,1.1946676664649791,-0.07964407176695179,-1.0889183553542623,-0.1269627036904399,-0.36551816000198956,1.2051530472890442,-0.08680309372609382,-1.0897309851165526,Non-PSR
22,-1.7156197,-0.018314853,-0.774577,-1.4981639,-0.43208358,-0.61871904,-0.5036181,-1.3887224,-0.39698383,-0.78381044,-0.7711376,-0.7697518,-0.7836333,-0.27757338,-0.08687068,-0.2199004277915254,0.40347004134120695,0.46043755473065423,0.3139936823717275,-1.0864377530906515,-0.21739730141087257,0.40018245211862463,0.4640812848590632,0.31104296016020666,-1.086744663230352,-0.2155685745919227,0.3978140595698989,0.4677127525626515,0.3077382146793352,-1.0875486090790838,Non-PSR
24,-1.7140714,1.7766956,-0.58593786,0.20629942,-0.65746117,-0.7273169,-1.2666312,-1.0183443,9.641098,2.111793,2.1867797,2.1839874,2.9259326,3.2554405,3.2081628,0.478186187985684,0.7100722353693645,0.19496119887730054,-0.5626491912364278,-0.785006559873252,0.4798697863119243,0.70795816472492,0.19765073050318824,-0.5642031933117352,-0.7845186533312181,0.48294657076411496,0.7032948240853435,0.20318466591598033,-0.5673641344679231,-0.7834328970103825,PSR
25,-1.7125143,0.9497644,-0.6422352,-0.58618915,-0.22173037,-0.5326241,-0.64497566,-0.0029760825,-0.24277551,-0.22883263,-0.19995932,-0.20477459,-0.46952274,0.48903593,0.5648256,0.13819379561694042,-0.2830392519098997,0.8434379475941425,-0.5273440193633098,-1.0883502763880393,0.14139739309374807,-0.2875553156821955,0.8479914485917749,-0.5301652882707613,-1.0886633419343859,0.1445530951339785,-0.2907656632367719,0.8541554499949762,-0.5331830767013135,-1.0894762911915299,Non-PSR
26,-1.711783,1.1271477,-0.6286738,-0.4166395,-0.5742561,-0.52939564,0.08418516,-0.6104693,0.7225425,0.7227846,0.69099313,0.68777287,0.9457517,0.77482164,0.8581326,0.40439984062483975,0.2906844476609282,0.5186349492691692,0.361329225803564,-0.022139446910573443,0.40543579206991776,0.2894095543832007,0.5199888001351939,0.36000613666227976,-0.020989793948968778,0.40398608217279114,0.29239417845970633,0.517980457352584,0.36081823956326947,-0.020807409402951327,Non-PSR
27,-1.7117596,-1.0540816,1.5411721,-1.8716512,1.1711657,0.71929485,-2.2658398,-1.3762034,-0.40988156,0.26884,0.4134954,0.41215873,-0.875192,0.6456642,0.6258761,1.5487245973693553,-0.9627149767755869,-1.9656326353286124,-1.646539765328048,-1.080218223313633,1.5488962745296961,-0.9667092273039806,-1.964023852686609,-1.6458770294396268,-1.0804954204041912,1.5497244634398146,-0.979043568108784,-1.9634479868794381,-1.6435300996951445,-1.0811692799487167,Non-PSR
29,-1.7107229,-0.6526241,-1.268292,-1.9964457,-1.8212812,-1.7406671,-1.288068,-0.36549774,-0.26100662,-1.4174756,-1.3733251,-1.3786867,-0.48193803,0.20380035,0.37174207,-0.901643100430018,1.0417330646537297,0.7405376050423587,2.022991278666372,-0.18513772337928375,-0.9009259146544865,1.040912024407757,0.7419100749938418,2.0229792826492212,-0.18405311050682455,-0.9031798985255312,1.042880753614701,0.7407487243597733,2.0246976754548776,-0.18374613030123044,Non-PSR
30,-1.71059,0.31642985,-0.7033243,-1.1897935,-0.07716723,0.0607973,0.29906207,-0.56910396,-0.2758643,-0.18778613,-0.22417933,-0.20976944,-0.41925246,-0.69896716,-0.110307775,-1.04041021067708,0.5181768095768032,-0.04621277728888958,0.7319304193337411,-1.089113505584821,-1.0408803068083066,0.5188195756960466,-0.04669505318032063,0.7321117858909673,-1.0894305545382978,-1.0418248731852116,0.5182841700714209,-0.046338279863666364,0.7303178849072196,-1.0902490863535832,Non-PSR
33,-1.708904,0.1043939,-0.73521453,-1.3899431,-0.3558495,-0.12331849,0.40521127,-0.32080102,-0.18229233,-0.13171089,-0.16299075,-0.16756743,-0.22704948,-0.34063798,-0.3034103,0.994958179292313,-0.5127421980655886,0.6182867004806966,0.413899409299973,0.4937157881383787,0.9945049198457687,-0.5119127666236551,0.6170947489816345,0.4143990873197496,0.493691971207826,0.992760026630729,-0.5074176112169844,0.6148548776019548,0.41551085152522144,0.4936226093386431,Non-PSR
36,-1.7084227,1.2104634,-0.62072796,-0.3377199,-0.7959913,-0.66853887,0.040567372,1.382592,1.097566,0.89525217,0.86578673,0.8587534,1.0495517,0.95567507,0.98351073,-0.06265057875275307,0.34285832976897207,0.483748062253309,0.38445924604173465,0.37605783844363655,-0.061871240477066526,0.3421294884219501,0.4845463887166841,0.38354818672452945,0.377047867967565,-0.06398701151772662,0.3458048973007335,0.48164729313558285,0.38495140980723075,0.3768107160812109,Non-PSR
