,GLON,GLAT,proba_AGN,proba_PSR,label
0,307.70898,-42.729538,0.9999207526310233,7.924736897672475e-05,AGNlike
1,109.38163999999999,-36.411484,0.9997929006050872,0.00020709939491283524,AGNlike
2,111.00448600000001,-30.771994,0.9919799136887849,0.00802008631121511,AGNlike
3,116.52632,-5.0228662,0.9995886633533966,0.0004113366466034572,AGNlike
4,336.9915,-73.84534000000001,0.9999678824968957,3.21175031042779e-05,AGNlike
5,118.60843999999999,5.282127,0.9971663435936752,0.002833656406324852,AGNlike
6,114.92035,-15.869719,0.9999630302761722,3.696972382782837e-05,AGNlike
7,119.14811,6.8857289999999995,0.9996516894354678,0.00034831056453219834,AGNlike
8,110.91511000000001,-36.72459,0.999967153245223,3.284675477703346e-05,AGNlike
9,319.3951,-65.54536,0.9999639650610687,3.6034938931344906e-05,AGNlike
10,119.10994,6.235327,0.9611227762980126,0.038877223701987415,AGNlike
11,108.90926999999999,-43.96513,0.9998660124939566,0.00013398750604347401,AGNlike
12,83.705765,-73.91203,0.9999363533302152,6.364666978471226e-05,AGNlike
13,320.38864,-69.86521,0.9996092916141729,0.0003907083858270799,AGNlike
14,309.86963,-57.381133999999996,0.999944920877952,5.5079122048092484e-05,AGNlike
15,321.8499,-73.93347,0.9998456185443658,0.00015438145563414566,AGNlike
16,114.974655,-38.41322,0.9999193968814847,8.060311851531242e-05,AGNlike
17,314.39056,-67.90782,0.9999070819787861,9.291802121393213e-05,AGNlike
18,104.761604,-69.51759,0.9992166630957031,0.0007833369042969329,AGNlike
19,70.318275,-84.105675,0.9993391654706775,0.0006608345293225344,AGNlike
20,308.3834,-60.11082,0.9999610732368548,3.892676314522484e-05,AGNlike
21,121.13443000000001,1.8261667000000001,0.9975901099496371,0.0024098900503628914,AGNlike
22,100.58408,-79.825195,0.9998262250117894,0.00017377498821053374,AGNlike
23,36.389965000000004,-86.83259,0.9965355873361211,0.003464412663878827,AGNlike
24,121.53531000000001,0.12189149,0.947513566938804,0.05248643306119605,AGNlike
25,120.61539499999999,-20.753937,0.9999516177902318,4.8382209768252036e-05,AGNlike
26,112.1175,-83.1215,0.9999406987795784,5.930122042159718e-05,AGNlike
27,303.44296,-53.334109999999995,0.9982315077209314,0.001768492279068629,AGNlike
28,123.01038999999999,1.8703631999999997,0.9961059315925376,0.003894068407462459,AGNlike
29,123.732124,-17.740635,0.999625378265309,0.0003746217346910122,AGNlike
30,123.66344,0.57604647,0.999908842860908,9.115713909198524e-05,AGNlike
31,123.53306,6.396929,0.9992641943746134,0.0007358056253865229,AGNlike
32,299.2362,-71.02254,0.9999634313770586,3.6568622941380696e-05,AGNlike
33,300.73035,-60.18506,0.9998930949372055,0.00010690506279451608,AGNlike
34,300.84314,-54.403248,0.9999453334820876,5.466651791236884e-05,AGNlike
35,124.92797,-17.86201,0.9996689120615371,0.00033108793846290654,AGNlike
36,127.39341,-52.764793000000004,0.9998334450475151,0.00016655495248487186,AGNlike
37,132.989,-70.92556,0.9997667251084794,0.0002332748915205702,AGNlike
38,127.72831000000001,-27.977003000000003,0.9991773001107492,0.0008226998892508107,AGNlike
39,236.6043,-84.2885,0.999741195118175,0.00025880488182497015,AGNlike
40,125.19039,6.481079599999999,0.9816561157013795,0.018343884298620564,AGNlike
41,296.8381,-56.66605,0.9993839703958192,0.0006160296041808074,AGNlike
42,136.17094,-57.039967000000004,0.9999152439157124,8.475608428755213e-05,AGNlike
43,301.32455,-37.297035,0.9999234650767533,7.653492324670714e-05,AGNlike
44,296.34128,-53.627823,0.9999532394985334,4.676050146662488e-05,AGNlike
45,297.91083,-49.010098,0.999595282782124,0.0004047172178760627,AGNlike
46,133.17609,-37.95704,0.9999694764891448,3.05235108551942e-05,AGNlike
47,290.05676,-62.335280000000004,0.9999120136366613,8.79863633387574e-05,AGNlike
48,154.01998999999998,-70.31441,0.9992159888556832,0.0007840111443167703,AGNlike
49,244.7201,-78.62133,0.9998689899331327,0.00013101006686738552,AGNlike
50,192.49397,-78.132126,0.9892500021417772,0.010749997858222888,AGNlike
51,126.94713,8.414599,0.9999519974324281,4.8002567571915965e-05,AGNlike
52,280.91638,-67.46981,0.9984144552415981,0.0015855447584018681,AGNlike
54,129.50565,-2.1973363999999997,0.9994208801728223,0.0005791198271777263,AGNlike
55,132.83993999999998,-12.919025999999999,0.9971050466755363,0.0028949533244636764,AGNlike
