,model name,TSS Value,setting,TP,FN,TN,FP
0,サポートベクターマシン(ploy),0.9290762177360116,"{'C': 3, 'class_weight': 'balanced', 'degree': 1, 'gamma': 1.1000000000000003, 'kernel': 'poly'}",70,4,1049,18
1,サポートベクターマシン(RBFカーネル),0.8601788292509942,"{'C': 15, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.02, 'kernel': 'rbf'}",64,10,1062,5
2,サポートベクターマシン(linear),0.9300134248587857,"{'C': 5, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'linear'}",70,4,1050,17
3,ガウシアンナイーブベイズ,0.6477114415258746,no-setting,48,26,1066,1
4,ベルヌーイナイーブベイズ,0.8144076597684845,no-setting,62,12,1042,25
5,ロジスティック回帰,0.9272018034904633,no-setting,70,4,1047,20
6,k近傍法,0.7259809012386332,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3}",54,20,1063,4
7,勾配ブースティング,0.795422883051749,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 3, 'subsample': 0.8999999999999999}",59,15,1065,2
8,ランダムフォレスト,0.7926112616834265,no-setting,59,15,1062,5
