,columns,rank
16,PLEC_Exp_Index,0.0
22,Flux50_100,0.06478290740121302
21,Unc_Frac_Variability,0.18978814439200772
25,Flux30000_100000,0.20975911667976463
9,LP_Index,0.3216722224085854
24,Flux10000_30000,0.351953601385687
3,Pivot_Energy,0.4110026029776562
7,PL_Index,0.4211632312220252
6,Unc_PL_Flux_Density,0.5822240454034642
0,GLON,0.8855461107536294
15,Unc_PLEC_Expfactor,0.9229184062649457
13,Unc_PLEC_Index,1.1709220233230229
1,GLAT,1.2369053589424794
10,Unc_LP_Index,1.8958707119999154
5,PL_Flux_Density,2.072658779243413
12,PLEC_Index,2.520466350942131
18,Energy_Flux100,2.606811945618901
19,Variability_Index,2.6701262812941047
4,Unc_Energy_Flux100,2.737011703956396
2,Signif_Avg,4.021478194103073
20,Frac_Variability,4.151924559625911
8,Unc_PL_Index,5.919307279673276
11,LP_beta,9.20436519916508
23,Flux1000_3000,16.084416449357498
14,PLEC_Expfactor,16.11999602551528
17,PLEC_SigCurv,23.22692874835055
