,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,PSRness
911,-0.3879403060261859,-0.45409820350679914,-1.5523782668635844,-0.6335450077156888,-0.2202314109829011,0.2165678301504929,-0.07721606273969282,-0.2963004742528275,-0.09008751286765432,-0.32729788626333706,-0.1883848374003557,-0.34392947677593577,-0.9362962207190214,-0.2551783533373443,-0.18231352544033644,-0.33952532833606386,-0.5431226592102206,-0.4772049218278559,-0.8206459758788494,-0.4162285734968753,-0.18116824615036378,-0.35209476721576766,0.2119553903137142,-0.6019531386496402,-0.6427541843343854,-0.5963231082076612,0.011201727148253465,-0.37907434425736064,-0.21156639358477555,-0.12798035917461717,-0.2670527339969701,-0.5680626924031351,-0.09467800823394039,-0.1362989447835843,-0.0884522401156328,-0.07695319235435617,-0.08034134802460349,-0.1435768028511783,0.30779763237867147,Non-PSR
912,-0.6230554563380498,-0.6632576527174554,1.5015379828189952,-0.04949692103481556,0.16818738684897971,-0.26752329062315977,-0.05414285936498644,-0.11697639065634467,-0.05275015833429746,-0.16362107488433086,-0.16907655194856874,-0.2863441836523644,-0.31424786676691385,-0.7461638452585994,-0.16596924865613152,-0.2888865908411829,-0.10375367625246906,-0.6833643453337657,-0.6786205083652177,-0.3230586516810077,-0.16455675734209355,-0.3005155988215847,0.45073326860929075,-0.7085309808807952,-0.5757821895741323,-0.5437235487468077,0.011201727148253465,-0.2648362955212427,-0.07367840549535278,-0.11756309627958952,-0.32870415651363905,-0.5811473202599545,-0.09467800823394039,-0.16077767644151508,-0.06287309144241018,-0.055924803373603726,-0.04402915999698994,0.012158494695719944,0.03119299172001284,Non-PSR
913,-0.38164265446038204,-0.32742411773729824,-1.1496191650153287,-0.5905631138906895,-0.3811711680645583,0.5432339015387302,-0.08015732741043383,-0.244405449131917,-0.09501212748520807,-0.28357267893935606,-0.18976412502427756,-0.3481457929391424,-0.9254103024832024,0.6684393896270533,-0.18358697452812572,-0.3437628013220042,-0.22878525174035283,-0.20397194393124643,-1.2124533288548338,-0.27726010825356867,-0.18234461810032984,-0.35580937902657345,0.2566689747845065,-0.18575072139819848,-0.6561092772883222,-0.5542758021979625,0.011201727148253465,-0.41358767310345945,-0.24357103347679487,-0.13657957622576478,-1.102708254399496,1.8253156511667807,-0.09467800823394039,-0.1562001157404613,-0.0992159460805248,-0.0786703374154389,-0.07956082023609913,-0.14913766767767556,0.11795435405072467,Non-PSR
914,-0.49710089329325696,-0.5336377412907379,1.4495690664514784,-1.8597931550759639,-0.2584370067522343,0.2396418404217487,-0.007165458153483744,1.0011468785130506,-0.021468849728501282,0.8494487201941895,-0.17741046590425416,-0.2878031208399223,0.672269233993904,-0.6713984567481306,-0.16938974982097263,-0.2840417943355268,1.1064243764198602,-0.273044801271928,0.9585302934714292,0.2692377438761609,-0.16771178619241325,-0.2864007165916283,-0.5942578561912157,-0.5273670800875399,0.6241581396920699,-0.2627105284914856,0.011201727148253465,0.24091879988946505,-0.049549584248323036,-0.1316824911358326,-0.7307188530749188,-0.5731001767182875,-0.09467800823394039,-0.1602054894121777,-0.047633710388986776,-0.001964817904274615,-0.011746321728164156,-0.10354387319539497,-0.16090700468288419,PSR
915,-0.0877487080609481,0.10857026006199484,0.5499500034752133,0.16541254809018108,-0.24523817013923183,-0.5787173151912868,-0.07443662796351225,-0.27161420326420443,-0.06901435157829919,-0.04146283441470345,-0.14713527376526692,-0.1406335869340962,1.6115337877690967,-0.4893646213341407,-0.1445073917895755,-0.13459314792223498,1.124478647788393,-0.12039419619594924,0.4324910743767545,-0.1565861036215495,-0.14370234567394932,-0.14443644175595,1.0301293897807582,1.0582734349480354,0.10324369142380425,1.0011813672688294,0.011201727148253465,-0.14468134372957545,0.015573299888792795,-0.07390456455722663,1.0565706177166125,-0.5518208891039821,-0.09467800823394039,-0.000500904601192834,-0.060649768413477564,-0.069744005496376,-0.08291033184013447,-0.1987777951408585,-0.23073732538755498,Non-PSR
916,0.37198520027403026,0.356026589219407,-0.8571084071753053,-0.09500716155540308,-0.33791691748769925,-0.6899101406975383,-0.07751519851385297,-0.23491714859283344,-0.08494127104973817,-0.26307583432836656,-0.12838829313518196,0.02726749418997084,0.9674433987519533,-0.1621103888306068,-0.12415348618242912,0.039793876799850594,0.7510787152931765,-0.09169479417579912,0.056013201526360204,-0.1609959385977841,-0.12336166473476226,0.051094694793515506,0.4786626207201355,0.1141786387146318,0.35943510250000493,0.6212948304590556,0.011201727148253465,-0.1457746725734675,-0.1535439138869552,-0.12552055061995782,-0.07000477250610133,-0.567725880674053,-0.09467800823394039,-0.017813424398837374,-0.07839394387312905,-0.07049594967362814,-0.08539792387237727,-0.1775098412886059,-0.23073066035385212,Non-PSR
917,-0.5600781577964455,-0.5395295359055386,-0.7225460344379849,-0.7372072222348048,-0.26088144108467337,0.20479665352075402,-0.07511969927889296,-0.2227640021623873,-0.08680907364046515,-0.24949325660107705,-0.18786081557831108,-0.3390186816862306,-0.8481040100697586,-0.18234696551584254,-0.1816896641184714,-0.3341244503966267,-0.5900245715989946,-0.31713170107736055,-0.5714588834089851,-0.3010039547301736,-0.18061224024079373,-0.34660609936738024,0.06218604591265789,-0.45578028867536324,-0.5704026248523931,-0.5177210775394347,0.011201727148253465,-0.27629524035358244,-0.21585892553202812,-0.128866270331991,-0.1632054073711458,-0.5636242705975022,-0.09467800823394039,-0.12160215618442037,-0.08885493525100109,-0.07572851243160231,-0.06841867981791443,-0.13290223928343484,0.11017578556715506,Non-PSR
918,-0.9421402132311947,-1.0639012150611553,-0.36006284277455497,0.0971471873092998,5.404047507464808,-0.5398134993490374,1.349567423414437,2.5540421755683425,1.142516942687197,1.233085839883968,1.6659402385493918,0.5963345181514141,-0.10819177509045622,-1.4976678325789712,2.3596627933116414,1.0856001705792822,-0.3961141069540146,-1.114107234818853,2.450198121994384,8.090364141091868,2.2831680997379693,1.1507265652224825,-1.7968705820254423,-0.8553618170455773,-0.019237902720514254,-0.24470616832220568,20.686053950107254,8.11331337821344,3.5174986976349185,-0.13476479057977134,-1.102708254399496,1.8253156511667807,-0.09467800823394039,0.32397607497193154,1.2968142903613467,1.4791920751306906,0.7556265182490631,-0.09015113709468177,-0.23066822325873312,PSR
919,-0.8350788771911406,-0.9254435400620529,1.2971887795310093,-1.0861190662259759,1.5809687166893258,-0.6597504454187818,0.09494132928099604,0.4641530999293952,0.17142878996421282,0.5491041875149251,0.4107652167513232,0.3890350445728563,0.07894668583306115,-1.3140343827851966,0.33703489570075,0.3147732556034659,0.18077461511176607,-1.041761043113024,-0.5293409803640248,0.147335072801631,0.33749321267823684,0.3199355574645006,0.6102535061185755,-0.9664530682377817,-0.44770498845371626,-0.5890412715156051,0.011201727148253465,0.15182380933007228,0.7217478800340699,0.09291497521618869,-0.07061307587309033,-0.580354341955543,-0.09467800823394039,0.5284920046051238,0.1573340534631695,0.08513561405774316,0.10806043307381322,0.5747038317538969,0.2843698107153165,Non-PSR
920,-0.14232896765606773,-0.09175142557627662,0.7916054645841668,-0.1481024421627552,-0.24574264071126695,-0.3888538323720149,-0.07655856018951902,-0.30447767229780537,-0.08327420683500035,-0.18674980843142686,-0.1774827458839174,-0.2871398475505645,0.9256660177429197,0.027763222766154835,-0.1716944159358767,-0.2793916756252114,0.6446921324304017,-0.17945133351710482,0.190134644997426,-0.19085393327952427,-0.17094851280713438,-0.2861948890626574,0.5206650264874194,0.24399346489152443,-0.057960094628012805,0.2745342567405236,0.011201727148253465,-0.2050737005290625,-0.09499858447441754,-0.07327058410017272,1.3898864519827805,-0.5437903465111337,-0.09467800823394039,0.0036301911466822792,-0.07710848325224663,-0.07351710564970244,-0.08019760137480839,-0.17595663818889004,-0.23073532668638713,Non-PSR
