,Source_Name,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,AGNness,PSRness
1045,4FGL J1847.2-0200,281.8241,-2.0164,30.665327,0.0016002875,0.031021383,0.026519274,65.42,107,,5.1983440000000005,5553.5425,2.128901e-09,4.4172294e-10,2.908604e-11,7.8323814e-12,PowerLaw,4.7126623e-14,8.639516e-15,2.4330611,0.09515877,5.2119332999999997e-14,3.7846076e-14,2.9212656000000004,1.477602,0.19380674,2.5516508,5.5981535999999993e-14,1.4905368e-14,1.7322855,0.89475155,0.005840808,0.0050548688,0.6666667,2.4217567000000004,1085.5674,11.120348,0.4997944,0.34048459999999997,unid,17,2.0090564767372147e-09,1.9472111034701808e-08,2.638746554595173e-09,4.2405448597016e-10,5.002049122126984e-11,1.72039674173341e-11,Non-AGN,Non-PSR
1046,4FGL J1847.7-3433,281.9424,-34.5661,1.109732,-14.298603,0.055197094,0.043972656,-50.36,255,,5.89987,1940.16,3.2947983e-10,6.351695e-11,1.6713018e-12,3.866808e-13,LogParabola,6.470118999999999e-14,1.3840036e-14,2.153824,0.123361975,1.11757134e-13,2.445049e-14,1.9045225,0.29428726,0.5143201,3.4043596,1.0640126000000001e-13,2.3265074e-14,0.488442,0.74027854,0.012093982,0.005406871999999999,0.6666667,3.4229176,181.34445,8.097048,0.22887072,0.445542,unid,0,9.040822777917068e-12,2.2038072755581342e-10,2.0277270140756087e-10,7.721077249778219e-11,2.7709304035311577e-12,2.9521022564789415e-16,Non-AGN,Non-PSR
1047,4FGL J1848.2-0016,282.0676,-0.2709,32.329712,0.58121896,0.059637527999999995,0.051620074,84.21,147,,5.9181614,2616.1914,1.5158432e-09,2.4827523e-10,2.2859272e-11,5.0790574e-12,PowerLaw,2.0428827e-13,3.2880376e-14,2.519572,0.0997529,2.6457215999999997e-13,4.3988288e-14,2.6507207999999998,0.20052314,0.22879549999999998,2.7250597,2.7180054e-13,5.9630266e-14,1.7521601000000002,0.6209705,0.0059875674,0.004352664,0.6666667,2.6890996,944.7066,3.9293362999999997,0.0,10.0,unid,286,2.614195970807032e-08,8.411017660137077e-09,1.5500012384705995e-09,2.817695521351027e-10,2.577998578501273e-11,7.660417744202124e-15,Non-AGN,Non-PSR
1048,4FGL J1848.7-6307,282.1787,-63.1262,332.5113,-23.700737,0.032624874,0.03145309,-86.72,1461,,4.1502349999999995,5911.353,9.337726999999999e-11,3.3635674e-11,1.0564149e-12,3.4830820000000003e-13,PowerLaw,2.7989162e-15,8.7947156e-16,1.954741,0.22397166,2.6347209999999998e-15,9.958160000000002e-16,1.967666,0.20368597,-0.025313877000000002,0.27363774,2.67672e-15,9.160218999999999e-16,2.0383735,0.31111940000000005,-0.00016360898999999998,0.00043567915999999997,0.6666667,0.31423894,97.735085,5.3990846,0.0,10.0,unid,0,4.791817441972268e-13,9.882662743709858e-11,5.4416832151460426e-11,2.902153517503336e-11,6.2302155622029335e-12,2.483798323266173e-12,Non-AGN,Non-PSR
1049,4FGL J1849.4-0117,282.3577,-1.2989,31.54713,-0.14576794,0.05285353,0.03971724,-11.14,32,,5.302282,5435.762,1.9703110000000003e-09,3.9673048e-10,2.7133291999999998e-11,7.0659533e-12,PowerLaw,4.56074e-14,8.182299e-15,2.4405427000000004,0.091133215,5.0912247e-14,1.9812155e-14,2.7315077999999997,0.8946135000000001,0.12737316,2.1977015,5.4689756e-14,2.4602072e-14,2.0398332999999997,0.9847509,0.0025269892,0.0028618025,0.6666667,2.0728965,1055.7921,11.468394,0.30039546,0.24484871,unid,20,2.069399165915975e-11,1.5061287328421713e-08,1.8153633041251283e-09,3.6797112579201036e-10,4.930751640319642e-11,1.2474055690867067e-17,Non-AGN,Non-PSR
1050,4FGL J1850.2-0201,282.5732,-2.0257,30.998490000000004,-0.66888255,0.083319865,0.038113747,-26.96,32,,4.983982599999999,4531.581,1.1538727e-09,2.6161913999999997e-10,1.4036944000000001e-11,4.103646700000001e-12,PowerLaw,4.6403887000000004e-14,9.2332995e-15,2.3034542,0.14410466,4.991518e-14,1.0526318999999999e-14,2.3314207000000002,0.20461518,0.044803042,0.7284531,4.767197e-14,2.0323275000000002e-14,2.2441720000000003,0.15825525,0.00021391152000000001,0.0013997157999999998,0.6666667,0.33263114,587.7187,4.812173400000001,0.0,10.0,unid,30,5.937344504935993e-10,1.1872295146986291e-08,1.3018836009237587e-09,1.7425859366593244e-10,5.0504895404701606e-11,1.2073576513560447e-11,Non-AGN,Non-PSR
1051,4FGL J1850.8-1105,282.7052,-11.0882,22.969717000000003,-4.8957489999999995,0.07832437,0.054580364000000006,5.85,1494,,6.662783599999999,1380.6119,6.677711e-10,1.0777113e-10,4.6290172e-12,1.1839097e-12,LogParabola,3.2950040000000004e-13,5.706413e-14,2.5266745,0.11067988,5.213346e-13,9.0120335e-14,2.5088315,0.24103084,0.46851268,3.6440861000000004,5.207206e-13,9.607022599999999e-14,0.96381164,0.7803419,0.016714985,0.008945125,0.6666667,3.5806129999999996,518.43884,6.530835,0.0,10.0,unid,1,9.062156580696977e-10,1.6353324250317767e-09,4.725729252363918e-10,7.430450699175141e-11,3.1155273673422186e-12,3.030793383309473e-19,Non-AGN,Non-PSR
1052,4FGL J1851.5+0718,282.8878,7.3111,39.45879,3.3015318,0.039532218,0.03885382,-20.84,369,,8.582647999999999,1655.2822,1.1626539e-09,1.4755111e-10,1.0863662e-11,2.6233632999999997e-12,LogParabola,4.1715029999999997e-13,5.5226155000000006e-14,2.5036888,0.08581465,5.269129e-13,7.004443e-14,2.4835336,0.14722991,0.17829783,2.988115,5.2153984e-13,7.2504936e-14,1.8479304,0.32418028,0.0051814476,0.0023964853,0.6666667,3.1248669999999996,834.8233,3.144012,0.0,10.0,unid,4,3.5207506243750686e-08,5.253813828431929e-09,6.321071444048697e-10,2.545696708988743e-10,3.7843629491331264e-16,2.2642111828437587e-16,Non-AGN,Non-PSR
1053,4FGL J1852.2-1309,283.0739,-13.1595,21.271141,-6.1454973,0.03570851,0.031576436,12.28,617,,10.188431,1819.3961,8.271907e-10,1.03470066e-10,3.9087652000000006e-12,5.65353e-13,LogParabola,2.0356693e-13,2.651422e-14,2.2666948,0.0860003,3.2811582e-13,4.776458e-14,1.8353898999999998,0.22068211,0.63552856,4.8835115,3.177414e-13,4.7971615999999996e-14,0.24184342,0.5709069999999999,0.015096741,0.004368665,0.6666667,4.9293785,384.17935,8.641915,0.17797698,0.2507023,unid,0,5.564324695450651e-11,7.905745502689854e-10,5.567632466174643e-10,1.824549261675301e-10,2.4964232070434633e-12,4.185790762259575e-15,Non-AGN,Non-PSR
1054,4FGL J1852.6+0203,283.1639,2.06,34.904140000000005,0.6683866999999999,0.038792145,0.032131493,-34.39,93,,8.674363,2639.1582,2.1588775e-09,2.680488e-10,3.2098293e-11,5.537633e-12,PowerLaw,2.8565702e-13,3.4747632999999994e-14,2.5079257,0.08063875,3.38951e-13,4.2904306e-14,2.6174104,0.14242889,0.13335004,2.3772504,3.4796504e-13,6.693127e-14,2.034275,0.5603096,0.0039118887,0.0041707596,0.6666667,1.9498426,1287.6697,4.861292,0.0,10.0,unid,2,2.2494259788174986e-09,1.1522066856173296e-08,2.1214614509545977e-09,3.4770539225625896e-10,2.4694312567019594e-11,1.0663686079992463e-11,Non-AGN,Non-PSR
1055,4FGL J1853.2-0922,283.3206,-9.3811,24.77303,-4.6686044,0.07499404,0.05673891,48.08,206,,4.9000673,1391.3832,3.9784745e-10,7.8881436e-11,6.0186097e-12,1.3532102e-12,PowerLaw,2.6338388e-13,5.116278e-14,2.5221386000000003,0.124416515,4.0613487e-13,7.9792625e-14,2.7534952,0.33073974,0.4413179,2.7554915,3.9906744e-13,8.1350535e-14,1.3307611000000001,0.6207560000000001,0.014638574,0.0083538955,0.6666667,2.3910196,490.8161,4.01088,0.0,10.0,unid,0,3.0372839798786795e-09,3.1869329397693487e-09,1.4819909188723557e-10,7.166150312043484e-11,4.996360530168387e-12,1.959535284600959e-17,Non-AGN,Non-PSR
1056,4FGL J1853.3-2447,283.3496,-24.7971,10.771247,-11.429002,0.11113425,0.050941672,-21.19,1333,,5.721668,1387.8309,3.548542e-10,6.5045726e-11,4.9772144e-12,1.008674e-12,PowerLaw,2.313247e-13,4.1063287000000005e-14,2.4574566000000004,0.13034299,2.811196e-13,6.079085e-14,2.4863880000000003,0.18475981,0.15058272,1.2650336000000002,2.5506262999999997e-13,5.4448094000000006e-14,2.2563846,0.33335040000000005,0.0020255782,0.0032109546,0.6666667,0.6178644,548.91187,10.136932,0.33584476,0.30485985,unid,256,1.3175700808165658e-10,2.0571062631091767e-09,2.360503736920095e-10,4.0258490985323186e-11,1.0824196573777645e-11,3.888958165915168e-12,Non-AGN,Non-PSR
1057,4FGL J1853.6-0620,283.4242,-6.346,27.534107000000002,-3.389242,0.059945893,0.040457312,-56.72,1198,,5.160091400000001,2541.0593,4.445658e-10,8.944162e-11,5.565614e-12,1.3599196e-12,PowerLaw,6.730576e-14,1.342272e-14,2.340255,0.13787439999999998,8.785306500000001e-14,1.8285554e-14,2.4214153,0.24007976,0.21334393,1.6936508000000001,8.969877e-14,5.3243786e-14,1.5946163,1.7116917,0.005651821,0.011377805,0.6666667,1.591828,391.24612,10.316127999999999,0.2983504,0.30228907,unid,1,3.0407594664438875e-08,2.6148265774850188e-09,2.900709672459812e-10,1.1469322019896919e-10,5.004582902604082e-13,4.021531371800613e-12,Non-AGN,Non-PSR
1058,4FGL J1853.8-1107,283.4699,-11.1234,23.27619,-5.5821652,0.060685962,0.038915492999999995,-17.78,1494,,4.650443599999999,1595.2874,3.8043712999999997e-10,7.8921335e-11,5.6829394e-12,1.3992799999999999e-12,PowerLaw,1.7804069e-13,3.6679185999999996e-14,2.511803,0.13184364,2.5931102000000003e-13,5.967285e-14,3.3394790000000003,0.34975818,0.7426598000000001,2.6809494,2.542467e-13,5.07979e-14,1.2258413000000001,0.22714648,0.018737745,0.001546298,0.6666667,2.3270211,486.71097000000003,6.524667,0.0,9.999999,unid,24,3.511267387956707e-10,2.4066137971345825e-09,3.5427250022479484e-10,8.203314763588487e-12,1.1907575619973796e-11,4.326163993012555e-12,Non-AGN,Non-PSR
