,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,PSRness
2747,1.015897346913958,-0.5682679125020855,-1.6267821906309248,-0.2319585045752661,0.7517900293058171,1.1355547058932483,-0.4730882494212213,1.070985167871099,-0.37478873568479504,-0.36133646700648403,-0.0537651059447043,0.18774671974790513,-0.07821626357844493,-0.19907226440672515,-0.14863708856695673,-0.1769675516205797,0.40913919251523073,0.24816884558114918,-0.13981719938102422,-0.1724858495639463,-0.14685428748878265,0.6090110454974512,1.7945968990266616,0.08722480508638601,-0.1394195621839365,-0.1625195141097219,-1.7501436774004127,0.4896666301866227,1.6192381662733193,0.5363662226440536,0.008725474921272363,0.07509063155206305,-0.18802314662848219,-0.10597982727002261,0.09173387205809203,-0.6191502685466653,1.699992974539352,-0.1492290720995696,-0.07828137816683234,-0.0559242697639064,-0.0568454719644392,-0.16600677922864635,-0.2087438395094813,Non-PSR
2748,1.017443004711545,0.33720329883129735,-1.3087411662577104,0.1601421589339477,-0.8719720464232589,-0.9525729382899486,1.6121222948727767,-0.9056934461674886,0.31369914455430004,-0.01511820911580887,0.004327233911291048,0.4311504895046431,0.0034415793982635013,0.497493289669281,-0.13848491768705845,-0.2130966642743892,-0.5601893015926519,-1.1513121121369239,-0.1345893698204732,-0.2423266635360867,-0.5127337542542755,-0.7420004178980631,-0.23332264770498706,0.132659077099599,-0.134390265192965,-0.22964519439390801,0.05855316411672777,-0.7212372745053307,-0.4685239418431759,-0.5938462526380304,0.008725474921272363,0.06810596469720263,0.004334435966619398,-0.06568211150930664,0.23034712293176685,-0.6422714259504589,-0.1057758569322377,-0.14572420378551132,-0.04318442496241692,-0.006112032661145912,0.037241722094918855,0.3159090908087352,0.3261339772751773,Non-PSR
2749,1.0174508209330249,-0.15464117278235823,-1.481259682213218,-0.054331534633437886,-0.7246962629231409,-0.7573194808362977,0.49462962334024174,-1.9879813565156126,0.10212661484743625,0.020861151592261314,0.2361735796343195,3.370061037496058,0.1578394575004527,1.9759351650009898,-0.09650561671314034,-0.09823067605282963,0.7968265197716057,-1.2539511324831705,-0.07099357607804362,-0.06917422596056381,0.9321528673858446,-0.517467496533657,2.563867154953951,1.1423186498297657,-0.06922172101184183,-0.08071188859299765,-2.015587905160198,-0.7740498967142576,1.8259817457604173,-0.522865907253451,0.008725474921272363,1.1367855275892258,0.2585846413991575,-0.109620360793298,-0.9459573449592894,-0.627851735468003,-0.1057758569322377,-0.08153004976090188,0.14686584104628372,0.25844019509257127,0.2036375287137106,-0.0831276209193806,-0.20826318892244278,PSR
2750,1.0183526174862316,-0.8855523482567259,-1.740009465952867,-0.36796462714702227,-0.2847331108085571,-0.14444040660263555,0.006641557168829037,-1.4242897365426312,-0.43142018122644443,1.0312823163854594,-0.06721692304017893,-0.17800754899966983,-0.08231896758921219,-0.23686256314495824,-0.15932435239622805,-0.26126587513232946,-1.1109916425161186,0.8760723877942225,-0.15372257617683008,-0.29263391232180924,-0.947671650475172,0.6755952419375836,-0.04595926584318226,-0.20180342448103006,-0.15299851949637247,-0.2746899296285123,-0.5071575464388947,0.5412632388433714,-0.44784928515873185,-0.30995361004910565,0.008725474921272363,-0.20864875134765767,-0.2210271350160036,-0.11310668002564674,-1.0392067673536685,1.6359016264644508,-0.1057758569322377,-0.14921107958236157,-0.08525701382526972,-0.06799524888576013,-0.0635591777545683,-0.07264683518150264,-0.13004753777097722,Non-PSR
2751,1.0185450919401664,1.3780489343529814,-0.9107820782711142,0.5195635991404933,-0.3891311525392942,-0.37223616559414296,-0.936489224566305,0.2843221959976941,-0.10631224015189389,-0.2967013117131794,-0.056780507313861146,-0.23124832654470748,-0.06458134283447921,-0.27906559997820996,-0.14948736245405286,-0.22496074110234188,0.021710290233308904,-0.5515544481289972,-0.14476807986932255,-0.2523476902397752,0.10553367658312456,-0.49470990932568987,-0.3024862057999207,-0.151469661865246,-0.14401488936971213,-0.23783901348943462,0.30938222997660736,-0.416480695626407,-0.3283056121636638,-0.3261158645360063,0.008725474921272363,-0.13201297588355185,-0.11506334592978092,-0.11569425900875015,-1.0392067673536685,1.6359013955176804,-0.1057758569322377,0.016179438795170108,-0.062201532658283924,-0.0567737078548975,-0.051860996333768596,-0.10619464296557535,-0.166588101240886,Non-PSR
2752,1.018858717827034,0.3480181552469352,-1.3042835716032366,0.16165614599631778,0.16641544321748464,-0.17427084235038973,-1.4308586731414978,-0.9056934461674886,-0.36487600202321424,-0.31111463622666347,-0.0552834462187922,0.0865390026219738,-0.05606038855832189,0.3925997273056878,-0.1474930685454883,-0.17963962132692404,0.7278283993106165,0.10815615156762125,-0.14358236327313237,-0.21067684048758192,0.8204192709062069,-0.2993826485091117,-0.6449045859242906,-0.34040892985219606,-0.14313074167773174,-0.19848837103959605,1.165911147411429,-0.6658281442983123,-0.6434718605672675,-0.3908886637109696,0.008725474921272363,-0.3992773619358685,-0.11510774078943072,-0.11068274325597156,-0.39875604389435204,-0.5899149709142001,-0.1057758569322377,-0.04990367752781006,-0.03458113343861588,-0.053678143401073665,-0.06660032474002076,-0.09371634224885947,-0.08651749993895143,Non-PSR
2753,1.02211612812865,0.1747388922859097,-1.364123552966566,0.08022130611692957,-0.9223068235606778,-1.0203692752407059,0.3138863511390608,1.7198568548622195,1.1021851104074452,-0.24415572909928723,0.16356522221951933,0.9757333611727088,0.09509872121994298,0.20811230098994174,-0.0659916525293721,-0.14291678883871303,-0.1091544995683371,-1.49665670013971,-0.0350560012538776,-0.12580493827030342,-0.18596376673054194,-0.9034635883627824,1.903545746531187,2.1237429063528888,-0.033498316907138205,-0.122771292548677,-2.086556414573838,-0.856202945722647,1.6823337892691754,-0.556042837324474,0.008725474921272363,2.151737190096844,0.3693000624162072,-0.10748605366816064,-0.8470986610567068,-0.663291461969056,-0.1057758569322377,0.012033673812647697,0.06790763662993742,0.15282308613849646,0.19196616649468565,-0.038377984245736525,-0.2088632878082359,PSR
2754,1.0229876368236235,1.7676504881591422,-0.7454374218591817,0.5869953017837302,-0.036787742805481256,-0.09562713018259486,-0.02320078995473043,0.246742754666162,-0.4549475652646477,3.058159925795188,-0.07230390414364495,-0.41136561397259974,-0.09041377300148064,-0.4931199729016416,-0.15979818965602832,-0.2663716128420372,-1.7413962880218181,2.154697143447789,-0.1542125091725414,-0.29858778389149676,-2.0976244968852966,2.592542773164236,0.7894766728870324,-0.2056982513787476,-0.1534616449913275,-0.2802827202496957,-2.1447004140048027,2.730815001766821,-0.2693725904627721,-0.017351411905681773,0.008725474921272363,-0.188397867269156,-0.2400922690927682,-0.11013306949775871,-1.0392067673536685,1.6359016264644508,-0.1057758569322377,-0.1492378717036681,-0.08608158212277608,-0.07186791324541977,-0.07381080587547983,-0.14590316867269165,-0.11686071356631925,Non-PSR
2755,1.0251664085610563,1.2566598456598213,-0.9592379530787365,0.4789639620513987,0.2335285499329897,0.4901333301217297,1.5625727373846026,0.2843221959976941,-0.3681908592717122,-0.39385821571100804,-0.06755185151865822,-0.3286204351438837,-0.08238032197213643,-0.3786773708479193,-0.15419195654464166,-0.22402910435445966,0.2551859675122276,0.4898733517164359,-0.14882205042367982,-0.2503981988127904,0.08759375158405604,0.6113144981006156,0.033286255692533157,-0.19594269619823435,-0.14804770022389185,-0.2352659100546803,-0.11403107942556452,0.716785360705525,0.08413323040066718,0.4234012843841562,0.008725474921272363,-0.15753532444729282,-0.1873742402338869,-0.10551939788457909,0.07385034284996599,-0.6093894164566298,-0.1057758569322377,-0.14889527944521688,-0.07755732720715618,-0.06507133966207747,-0.0698366672100951,-0.16224570130720858,-0.20885828517613392,Non-PSR
2756,1.0263456809767881,-1.1298176313065278,1.7160461021347768,-0.4737808034988718,-0.3835383760132655,-0.3803718069361359,-1.581384222783603,0.46470351438904806,-0.3490804974424986,-0.17836568539752556,-0.06284427276543357,-0.1780072844090169,-0.07386490490612994,-0.1351332929161272,-0.15493780498319054,-0.2314388410385117,0.2910639119773431,0.20957079921182564,-0.14997989611501272,-0.2634073066078118,0.47892965266761434,-0.21872706245096132,-0.5941103315254558,-0.3183771660168187,-0.14937295729479724,-0.2498521290478566,0.9124310445330579,-0.5036284880617107,-0.6331648168237044,-0.5091571644745363,0.008725474921272363,-0.38715274152219553,-0.16174848481820994,-0.10964290215014583,-0.11377833748350012,-0.60492104679422,-0.1057758569322377,-0.14870831467931603,-0.06125002075824723,-0.0636328306911871,-0.06417402441573285,-0.1507674551768287,-0.07304516889765007,Non-PSR
