,Source_Name,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,AGNness,PSRness
14,4FGL J0003.9-1149,0.9986,-11.8251,84.59542,-71.0751,0.03231651,0.030774692,-31.93,1082,,10.233945,1680.0156,2.8707606e-10,4.0498768e-11,3.2111015e-12,4.419565e-13,PowerLaw,1.0792269e-13,1.4788535e-14,2.1277146,0.098390564,1.4417139e-13,2.347718e-14,2.0007017,0.17358784,0.26229075,2.7669735,1.3910841e-13,2.3200063e-14,1.3456585,0.41594663,0.0059486376,0.0033132231,0.6666667,2.7309043,327.23553,4.7231445,0.0,10.0,bll,0,3.2149096210708217e-13,7.00282887233783e-10,2.6036420242014913e-10,6.355198312046895e-11,1.3107374560727969e-11,2.5258310586714755e-20,AGN,Non-PSR
16,4FGL J0004.0+0840,1.0073,8.6757,103.49598,-52.397846,0.050263274,0.038607128,-56.38,494,,6.7910714,2233.738,2.2329537e-10,4.134058e-11,2.4867556e-12,4.6014256e-13,PowerLaw,4.5711065e-14,8.451117e-15,2.1019166,0.14017807,6.0501524e-14,1.37549596e-14,1.6877342,0.3493307,0.35344642,1.9199411,5.73506e-14,1.2861138e-14,1.0804646,0.7982378,0.0053785467,0.0046211286,0.6666667,2.006782,234.9963,9.037287,0.32937843,0.4741206,bcu,0,1.958117046285679e-08,2.81159567849798e-10,1.640033664429552e-10,8.056175171411439e-11,3.0199384659646e-12,1.3442100080598984e-12,AGN,Non-PSR
17,4FGL J0004.4-4737,1.1091,-47.6233,323.986,-67.53783,0.027814401,0.02528582,-9.35,1288,,19.205418,845.39923,4.8566245e-10,4.3817103e-11,6.5130097e-12,4.719263e-13,PowerLaw,1.0320927e-12,7.422343e-14,2.4149895,0.06283799,1.1205907e-12,9.626509e-14,2.3563406,0.08525738,0.07762944,1.6479105,1.1086034e-12,8.944046e-14,2.161555,0.1629187,0.0026395365,0.00165742,0.6666667,2.1042888,1063.8132,123.41303,0.83265644,0.23491071,fsrq,0,2.8704123522516056e-08,2.1586010756635687e-09,4.013488708043411e-10,9.121785271570815e-11,5.8601903711597014e-12,8.9237747965702e-16,AGN,Non-PSR
20,4FGL J0005.9+3824,1.4986,38.401,113.23228,-23.613338,0.05710895,0.046809603,60.9,719,,14.65977,544.74713,4.5405948e-10,4.8767896e-11,8.3591545e-12,6.5798533e-13,PowerLaw,3.8237868e-12,2.943593e-13,2.6667964,0.062206063,4.4968057e-12,4.059939e-13,2.6316638,0.088459425,0.15494637,2.5308628,4.4303077e-12,4.0274313e-13,2.199851,0.22276911,0.008213385,0.003964011,0.6666667,2.5216346,1428.4226,23.272005,0.3225728,0.12107627,fsrq,0,3.337892806598575e-08,3.4995941700088906e-09,3.9453529332433845e-10,3.6396986119457964e-11,4.4932755975148064e-13,4.506285689006618e-16,AGN,Non-PSR
21,4FGL J0006.3-0620,1.5992,-6.3493,93.64702,-66.62518,0.06753164,0.06346124,-82.71,1065,,4.12492,2028.5834,1.2589059e-10,3.344897e-11,1.4250478e-12,3.816831e-13,PowerLaw,3.1877614e-14,8.439175e-15,2.1706007,0.18550012,4.3625632e-14,1.364307e-14,2.0629766,0.32504353,0.2742178,1.4384562,4.2050947e-14,1.3123589e-14,1.3517041,0.7789327,0.0057066344,0.005508119,0.6666667,1.4229817,149.32076,18.205976,0.6143341,0.3420158,bll,0,6.2055649507897215e-09,3.2931399274183093e-10,6.737200380912967e-11,4.0439481624465756e-11,6.356208094582261e-12,4.840541301256518e-16,AGN,Non-PSR
22,4FGL J0006.4+0135,1.6094,1.5982,100.47745,-59.29749,0.045082767,0.037867054,56.38,1295,,6.145243,2459.6868,1.7693509e-10,3.7296284e-11,1.9687706e-12,4.169119e-13,PowerLaw,2.9584015e-14,6.236865e-15,2.0946035,0.16339187,3.5179504e-14,8.994919e-15,1.9011818,0.32759845,0.16732785,1.0555143,3.491363e-14,8.532382e-15,1.4802004,0.64328295,0.0029480234,0.003174407,0.6666667,1.328661,184.50972,2.4156098,0.0,10.0,bcu,0,3.05024443203461e-11,3.728003461489493e-10,1.307875752143417e-10,4.818898405312133e-11,1.0922497281629084e-11,3.4186940083035574e-15,AGN,Non-PSR
24,4FGL J0007.0+7303,1.768,73.0512,119.66263,10.46168,0.0045021093,0.0045021093,-49.42,233,,329.09354,1452.2994,6.6939144e-08,4.798683e-10,4.3222992e-10,3.4536588e-12,PLSuperExpCutoff,2.6641536e-11,1.7141788e-13,2.027981,0.004249912,3.7143247e-11,2.8886895e-13,1.8605095,0.008471716,0.27321246,62.408077,3.5858653e-11,2.8672466e-13,1.0445546,0.05125429,0.025026945,0.007791253,0.5479403,63.44732,36404.008,4.1237054,0.0,10.0,PSR,0,1.7700543253340584e-07,1.1343451689072026e-07,4.970272016180388e-08,1.5402221720250964e-08,1.4517599344898713e-09,5.329075028481789e-11,Non-AGN,PSR
25,4FGL J0007.7+4008,1.9275,40.134,113.93701,-21.972776,0.029232875,0.025470836,73.04,719,,11.106481,1874.174,3.634569e-10,4.471208e-11,4.095893e-12,4.9865125e-13,PowerLaw,1.08974095e-13,1.32375825e-14,2.1567848,0.09174704,1.3494269e-13,1.9082123e-14,1.9334263,0.1894369,0.22259808,2.558069,1.3153446e-13,1.8194398e-14,1.3994917,0.39049816,0.004560182,0.002382811,0.6666667,2.8542297,481.59204,17.865534,0.41981348,0.18766534,bcu,0,1.2751561584423143e-08,1.1205413263937203e-09,2.418408251436688e-10,1.1453892001522803e-10,1.1224116254482386e-11,1.164802016097961e-15,AGN,Non-PSR
26,4FGL J0008.0+4711,2.0024,47.195,115.31625,-15.033559,0.009744291,0.009497601,42.66,783,,42.16299,1403.9235,2.053179e-09,8.995697e-11,1.8266043e-11,1.1171772e-12,LogParabola,1.0192898e-12,4.178294e-14,2.0525768,0.031170934,1.0987101e-12,5.08419e-14,1.9346354,0.050815575,0.079398826,3.5582082,1.0692284e-12,4.756163e-14,1.8158094,0.07345087,0.0012837369,0.0003880337,0.6666667,4.026659,1864.454,7.4312587,0.017027546,0.21299335,bll,0,3.556001715310231e-08,4.224066429969753e-09,1.3695038436623008e-09,5.235068489817252e-10,1.239179731049589e-10,2.1649822559699494e-11,AGN,Non-PSR
27,4FGL J0008.0-3937,2.0048,-39.632,335.9962,-74.58333,0.14190896,0.10176001,9.7,1132,,5.730293,830.4236,1.6083249e-10,3.764112e-11,1.3721681e-12,3.9571322e-13,LogParabola,3.5084812e-13,6.985278e-14,2.5685303,0.13714193,5.717741e-13,1.1943326e-13,2.4022975,0.33063605,0.72450393,3.0652084,5.5983235e-13,1.2754054e-13,0.4740519,1.418392,0.030595537,0.02036135,0.6666667,3.066179,241.72063,2.4596732,0.0,10.0,bcu,16,2.880096827695411e-09,1.0263523364528737e-09,1.3106477014801499e-10,6.363816158067026e-12,1.3485071146215367e-14,1.3584687111104255e-17,AGN,Non-PSR
29,4FGL J0008.4-2339,2.111,-23.6514,50.26514,-79.690834,0.025470836,0.020845382,27.94,1188,,10.519943,6084.1147,1.9545103e-10,3.6206593e-11,2.6925014e-12,4.951347e-13,PowerLaw,6.6757923e-15,1.1654648e-15,1.6839513,0.11275502,8.525738e-15,1.7982662e-15,1.4809875,0.2182928,0.16281697,1.8402169,8.358571e-15,1.6653739e-15,1.0323151,0.33615676,0.001552142,0.000803355,0.6666667,2.2756336,128.71295,10.584781,0.2256075,0.4060646,bll,0,1.3048390493097806e-11,1.606560856570738e-10,9.103878761962392e-11,3.9955629083099353e-11,5.31257850211464e-11,7.2618499755150445e-12,AGN,Non-PSR
30,4FGL J0008.4+1455,2.1246,14.9232,107.72407,-46.6767,0.02960291,0.028369455,34.89,1303,,10.041938,1717.2878,3.274281e-10,4.5481573e-11,3.7483324e-12,5.1314503e-13,PowerLaw,1.2000649e-13,1.6304574e-14,2.1995182,0.105947055,1.2746514e-13,2.0583163e-14,2.1556756,0.14485562,0.042718746,0.6488416,1.300011e-13,1.9505627e-14,1.9384943,0.27068996,0.0014557586,0.0014510113,0.6666667,1.2926224,416.1108,7.888641,0.02504162,1.4914412,bcu,0,4.548522447578307e-09,7.282531244712231e-10,2.766268880627365e-10,7.349745118068185e-11,2.41223915842248e-11,4.874066335913251e-16,AGN,Non-PSR
33,4FGL J0009.1+0628,2.2973,6.4828,104.480736,-54.868298,0.021153746,0.018686837,-83.61,494,,13.052364,1872.1111,4.5965906e-10,5.2013845e-11,5.1309937e-12,5.7255454e-13,PowerLaw,1.3690556e-13,1.526066e-14,2.1171386,0.081403635,1.4721034e-13,1.9272107e-14,2.0867202,0.09896444,0.04512154,0.9813813,1.4354095e-13,1.7368543e-14,1.9991007,0.1527919,0.00061474217,0.0007112969,0.6666667,1.0305651,489.38965,11.290438,0.23110011,0.18991543,bll,0,4.4983561688950735e-13,1.5268998287965019e-09,2.791962772086265e-10,1.1400575622433351e-10,2.8246942979093248e-11,9.658638472354042e-12,AGN,Non-PSR
36,4FGL J0009.3+5030,2.3466,50.5115,116.12437,-11.803588,0.008449164,0.008325819,36.45,610,,54.228363,1310.5244,2.8104423e-09,9.975493e-11,2.5818998e-11,1.1852658e-12,LogParabola,1.5285275e-12,5.0853774e-14,1.987031,0.02373188,1.6578956e-12,6.196642e-14,1.8825232,0.035371866,0.06981315,4.3845778,1.5973529e-12,5.6576915e-14,1.7909056,0.047521435,0.0010444752,0.00024473228,0.6666667,4.664787,2481.1304,132.0971,0.38896665,0.109684505,bll,0,9.22601284258917e-09,5.479718900858188e-09,1.845632757735416e-09,6.888690173845191e-10,1.6668742774950118e-10,4.9066719437496076e-11,AGN,Non-PSR
38,4FGL J0009.7-3217,2.4443,-32.2976,0.6727207,-79.58928,0.034968436,0.03009629,-26.07,879,,7.085836,1705.5222,1.8341885e-10,3.3384902e-11,2.0985076e-12,3.7589826e-13,PowerLaw,6.822334e-14,1.21455055e-14,2.1981528,0.13509318,7.5767e-14,1.5843926e-14,2.1488535,0.1775985,0.075799,0.8613283,7.312969e-14,1.426786e-14,2.006415,0.29060018,0.0011598285,0.0016643126,0.6666667,0.9076175,266.56476,16.073004,0.540167,0.25122628,rdg,0,1.5232681782606505e-09,5.436254779667138e-10,1.7733506330053217e-10,1.9760585528993957e-11,1.4387988196695733e-11,2.9810940766810876e-16,AGN,Non-PSR
39,4FGL J0009.8-4317,2.4533,-43.2979,327.77505,-71.76617,0.028369455,0.023744,75.11,1132,,9.7891655,1959.596,2.1613628e-10,3.283561e-11,2.4276982e-12,3.6578325e-13,PowerLaw,5.8746444e-14,8.825389e-15,2.145199,0.12928359,5.4762703e-14,9.6618134e-15,2.1911077,0.11915045,-0.040844724,0.7269835,5.9503455e-14,9.432959e-15,2.0983264,0.20885147,0.00019806306,0.00071471167,0.6666667,0.28828225,297.05734,11.714552,0.31496903,0.23420183,bll,0,4.116731695119613e-12,4.951978826994718e-10,1.3481685212646255e-10,3.952123697748e-11,2.6238997086203142e-11,1.3450601563943327e-15,AGN,Non-PSR
40,4FGL J0010.6+2043,2.6502,20.7332,110.21874,-41.12827,0.116191424,0.07653586,-72.2,1133,,4.55181,1299.714,1.5871579e-10,3.748826e-11,1.9497832e-12,4.420652e-13,PowerLaw,1.1407654e-13,2.5312943e-14,2.316534,0.16675967,1.3988242e-13,3.4075427e-14,2.144756,0.3254802,0.21123806,1.5020043,1.3665616e-13,3.3506137e-14,1.5071964,0.63602114,0.0064376234,0.005072495,0.6666667,1.7170315,252.10881,19.162102,0.7225788,0.31382018,fsrq,0,4.693723708315556e-13,7.207220931171321e-10,1.2574925822850247e-10,3.955520286313963e-11,2.7668881793477436e-15,9.850061771197778e-18,AGN,Non-PSR
