,GLON,GLAT,PSRness
212,124.42446,-4.429606,Non-PSR
214,124.857994,-12.918626,Non-PSR
215,127.228264,-47.33618,Non-PSR
216,124.74528,-9.203022,Non-PSR
217,127.58429,-49.405758,Non-PSR
219,170.38489,-85.84747,Non-PSR
220,125.81474,-23.2986,Non-PSR
222,295.9387,-68.38204,Non-PSR
223,137.68132,-74.5983,Non-PSR
224,132.21762,-63.229465,Non-PSR
225,131.8437,-60.991188,Non-PSR
226,128.83229,-44.403687,Non-PSR
227,128.16501,-38.66623,Non-PSR
228,125.11431,-1.2325013,Non-PSR
229,287.8268,-76.25934,Non-PSR
230,124.68571,5.2894006,Non-PSR
231,141.53157,-75.07677,Non-PSR
232,126.64811,-18.983734,Non-PSR
233,132.07747,-56.94024,Non-PSR
234,197.39455,-85.29286,Non-PSR
236,299.71225,-50.42372,Non-PSR
237,129.14764,-39.870537,Non-PSR
238,135.57443,-65.72533,Non-PSR
239,301.0865,-41.94915,Non-PSR
240,128.20293,-30.51219,Non-PSR
241,276.4768,-80.091736,Non-PSR
242,126.57621,-12.910367,Non-PSR
243,134.10127,-59.968235,Non-PSR
244,125.38182,1.5399152,Non-PSR
245,131.63397,-49.041607,Non-PSR
246,268.0324,-81.46336,Non-PSR
247,129.50574,-36.19606,Non-PSR
248,136.42502,-63.74519,Non-PSR
250,134.50613,-58.379635,Non-PSR
251,129.85223,-37.211563,Non-PSR
252,144.50386,-73.4404,Non-PSR
253,220.94029,-84.51192,Non-PSR
254,297.84406,-54.987865,Non-PSR
255,225.30444,-84.34075,Non-PSR
256,248.02646,-83.39752,Non-PSR
258,192.046,-83.65052,Non-PSR
259,169.55531,-81.526344,Non-PSR
261,173.40576,-81.72015,Non-PSR
262,152.18536,-76.2582,Non-PSR
263,293.90958,-62.71831,Non-PSR
264,128.53261,-20.581835,Non-PSR
265,128.7338,-21.658716,Non-PSR
268,213.65465,-83.53282,Non-PSR
269,127.68354,-10.697121,Non-PSR
270,277.26886,-76.304276,Non-PSR
271,130.34883,-28.06065,Non-PSR
272,186.41393,-81.700134,Non-PSR
273,145.4401,-67.83154,Non-PSR
274,204.98271,-82.289444,Non-PSR
275,141.37395,-61.9042,Non-PSR
277,183.5854,-80.8067,Non-PSR
280,131.47441,-29.103487,Non-PSR
281,148.84595,-69.38138,Non-PSR
282,140.12785,-58.256546,Non-PSR
283,286.9238,-67.7681,Non-PSR
284,129.07507,-13.482618,Non-PSR
285,129.90256,-18.37076,Non-PSR
286,127.939224,-5.3426013,Non-PSR
287,129.8481,-17.694757,Non-PSR
289,131.83041,-27.591726,Non-PSR
290,136.66982,-47.16234,Non-PSR
291,182.70346,-79.478424,Non-PSR
292,135.69498,-43.1505,Non-PSR
293,127.67886,-1.1678184,Non-PSR
294,128.55211,-6.6514153,Non-PSR
297,168.09999,-76.018585,Non-PSR
298,152.00343,-68.58237,Non-PSR
299,279.65857,-70.986404,Non-PSR
300,130.86559,-18.82842,Non-PSR
301,288.2558,-63.902428,Non-PSR
302,281.38977,-69.782936,Non-PSR
303,267.86542,-75.3533,Non-PSR
304,134.73314,-35.253414,Non-PSR
305,129.44702,-8.683987,Non-PSR
306,143.94388,-58.16204,Non-PSR
307,132.42177,-22.938679,Non-PSR
308,130.79832,-14.310297,Non-PSR
310,201.39598,-79.287186,Non-PSR
311,129.04008,-4.069274,Non-PSR
312,136.75227,-38.822086,Non-PSR
313,279.9816,-68.75417,Non-PSR
315,136.10617,-35.62143,Non-PSR
319,156.5221,-67.578,Non-PSR
320,123.49389,24.788372,Non-PSR
321,159.06589,-68.7694,Non-PSR
323,154.91122,-65.371185,Non-PSR
324,256.2518,-75.66542,Non-PSR
325,239.0783,-77.68691,Non-PSR
326,290.4591,-57.070656,Non-PSR
328,137.27614,-34.296703,Non-PSR
329,217.97354,-78.09566,Non-PSR
330,295.18152,-48.52304,Non-PSR
331,132.7752,-15.708392,Non-PSR
332,283.9882,-62.991943,Non-PSR
333,169.40825,-70.966286,Non-PSR
334,131.74506,-9.872843,Non-PSR
335,150.92685,-58.266453,Non-PSR
336,160.80806,-66.07856,Non-PSR
338,285.64145,-60.292126,Non-PSR
339,148.88799,-54.184326,Non-PSR
340,124.05109,23.27852,Non-PSR
341,251.86137,-74.399864,Non-PSR
342,131.59106,-6.9377823,Non-PSR
343,136.15144,-24.071594,Non-PSR
344,141.05763,-38.607136,Non-PSR
345,152.37036,-57.54142,Non-PSR
346,126.897255,12.892864,Non-PSR
348,127.92429,8.972914,Non-PSR
349,148.22522,-51.380608,Non-PSR
350,157.14821,-61.234547,Non-PSR
352,134.70755,-16.854156,Non-PSR
354,136.45793,-21.90672,Non-PSR
355,275.46545,-65.753914,Non-PSR
356,282.20322,-61.38199,Non-PSR
357,134.43765,-14.588901,Non-PSR
358,272.8468,-66.82179,Non-PSR
360,258.83246,-71.33312,Non-PSR
361,155.57623,-57.512863,Non-PSR
363,270.87112,-67.288345,Non-PSR
364,148.74524,-48.65477,Non-PSR
365,218.93056,-74.831764,Non-PSR
366,262.09283,-70.07539,Non-PSR
367,292.5541,-49.084427,Non-PSR
368,156.89374,-57.60042,Non-PSR
369,267.3331,-68.202385,Non-PSR
370,150.9802,-50.134304,Non-PSR
372,161.1989,-60.448288,Non-PSR
373,136.82762,-18.868233,Non-PSR
374,160.71458,-59.936195,Non-PSR
375,128.353,10.445589,Non-PSR
376,140.802,-29.636908,Non-PSR
377,239.7277,-73.08308,Non-PSR
378,233.2782,-73.51623,Non-PSR
379,143.48354,-35.65931,Non-PSR
381,147.94237,-44.043938,Non-PSR
382,185.98083,-70.20197,Non-PSR
383,140.60777,-28.12315,Non-PSR
385,172.19144,-65.424965,Non-PSR
386,175.61299,-66.70868,Non-PSR
387,284.6702,-56.62665,Non-PSR
388,254.39658,-70.24919,Non-PSR
389,174.25456,-65.78276,Non-PSR
390,207.00098,-72.57204,Non-PSR
391,145.42104,-37.448925,Non-PSR
392,152.16164,-48.594044,Non-PSR
393,292.8072,-46.945667,Non-PSR
394,161.20778,-57.80094,Non-PSR
395,140.21666,-24.86848,Non-PSR
396,137.16905,-15.876336,Non-PSR
397,278.34457,-60.766724,Non-PSR
399,128.83585,10.52246,Non-PSR
400,144.53331,-34.244873,Non-PSR
401,183.01495,-67.83014,Non-PSR
402,276.10577,-61.773746,Non-PSR
403,169.47931,-62.21236,Non-PSR
404,152.58516,-47.36815,Non-PSR
407,213.9327,-71.91617,Non-PSR
408,164.32556,-58.537155,Non-PSR
409,242.51393,-70.98008,Non-PSR
410,218.36354,-71.93011,Non-PSR
411,146.44386,-36.374893,Non-PSR
412,292.9308,-45.66284,Non-PSR
413,293.27103,-45.11999,Non-PSR
414,135.75317,-9.038097,Non-PSR
415,283.75757,-55.56151,Non-PSR
416,286.88025,-52.610622,Non-PSR
417,248.40251,-69.6475,Non-PSR
419,128.07764,13.892107,Non-PSR
420,160.30334,-53.619614,Non-PSR
421,147.15135,-35.606884,Non-PSR
422,176.96939,-63.786316,Non-PSR
423,290.3446,-48.397533,Non-PSR
424,158.7241,-51.667206,Non-PSR
425,174.0807,-62.394085,Non-PSR
426,156.11548,-48.639996,Non-PSR
427,128.90186,12.013445,Non-PSR
428,162.16364,-54.418953,Non-PSR
430,141.86285,-22.914812,Non-PSR
431,147.06609,-33.998367,Non-PSR
432,191.83107,-67.55039,Non-PSR
433,157.79947,-49.405552,Non-PSR
434,143.73198,-26.478456,Non-PSR
435,176.0174,-61.95728,Non-PSR
436,142.60892,-23.48552,Non-PSR
438,147.42923,-33.32016,Non-PSR
439,190.26573,-66.37347,Non-PSR
441,140.14612,-16.765535,Non-PSR
443,239.94745,-68.98428,Non-PSR
444,131.24452,6.9841895,Non-PSR
445,181.07068,-63.264236,Non-PSR
446,136.21916,-6.2290106,Non-PSR
447,141.78235,-20.260767,Non-PSR
448,178.2338,-61.996376,Non-PSR
449,297.9118,-36.515594,Non-PSR
450,196.56476,-67.18424,Non-PSR
451,159.62587,-49.133923,Non-PSR
452,153.07039,-41.10926,Non-PSR
454,151.77812,-38.859947,Non-PSR
455,215.40344,-69.06013,Non-PSR
457,262.75528,-64.05166,Non-PSR
458,155.53029,-43.63778,Non-PSR
459,196.96536,-66.6566,Non-PSR
460,158.2758,-46.608047,Non-PSR
461,261.87213,-64.112724,Non-PSR
462,174.04782,-58.95355,Non-PSR
463,149.75749,-34.654095,Non-PSR
465,142.37755,-19.757303,Non-PSR
466,165.13123,-52.811634,Non-PSR
467,150.26175,-34.928223,Non-PSR
468,227.59564,-68.61415,Non-PSR
469,126.3449,19.920328,Non-PSR
470,229.19212,-68.53759,Non-PSR
471,278.26303,-56.447353,Non-PSR
472,132.13475,6.1906233,Non-PSR
473,243.93579,-67.16157,Non-PSR
475,142.61102,-18.501316,Non-PSR
477,280.18182,-54.58032,Non-PSR
478,266.2693,-61.636654,Non-PSR
479,157.1235,-42.73872,Non-PSR
480,184.18184,-61.477207,Non-PSR
481,152.93639,-36.577847,Non-PSR
482,149.73553,-31.395737,Non-PSR
483,144.25575,-20.944365,Non-PSR
484,162.61809,-47.939514,Non-PSR
485,127.16734,18.677908,Non-PSR
486,177.42413,-58.009758,Non-PSR
488,225.3855,-67.00054,Non-PSR
489,283.21402,-51.293438,Non-PSR
490,179.37523,-58.010536,Non-PSR
491,154.2637,-36.34751,Non-PSR
492,241.1298,-65.77617,Non-PSR
493,161.79672,-45.3184,Non-PSR
494,168.38545,-51.13739,Non-PSR
496,149.46959,-28.524496,Non-PSR
497,248.03343,-64.79598,Non-PSR
498,157.40536,-40.09841,Non-PSR
499,229.45934,-66.33446,Non-PSR
500,156.7759,-39.10538,Non-PSR
501,151.20462,-30.988201,Non-PSR
503,159.22076,-41.693806,Non-PSR
504,190.66292,-61.525017,Non-PSR
505,166.87543,-49.140408,Non-PSR
508,236.00569,-65.55521,Non-PSR
509,177.65056,-55.850353,Non-PSR
510,133.91179,5.2279367,Non-PSR
511,195.25713,-62.117126,Non-PSR
512,161.80322,-43.29507,Non-PSR
513,139.60245,-6.963813,Non-PSR
514,157.15526,-37.775043,Non-PSR
516,179.31943,-55.94262,Non-PSR
517,131.72546,10.391743,Non-PSR
518,278.4472,-53.086155,Non-PSR
519,160.75096,-41.123455,Non-PSR
521,176.21965,-53.620575,Non-PSR
522,280.0547,-51.932518,Non-PSR
523,153.74857,-31.813984,Non-PSR
524,261.81567,-60.100594,Non-PSR
526,235.11372,-64.38417,Non-PSR
527,155.32375,-32.892387,Non-PSR
530,140.80171,-7.2259235,Non-PSR
531,298.41718,-33.653038,Non-PSR
532,159.44098,-37.074566,Non-PSR
533,125.83301,22.411898,Non-PSR
534,138.88255,-2.6161082,Non-PSR
537,279.32034,-51.290028,Non-PSR
540,209.74239,-62.0938,Non-PSR
541,147.5636,-18.411877,Non-PSR
542,272.5279,-54.64205,Non-PSR
543,176.71094,-51.088688,Non-PSR
544,150.9359,-23.866667,Non-PSR
