,Source_Name,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,BLLness,FSRQness
3652,4FGL J1743.6-3341,0.027691055,0.02214051,-21.49,314,,5.811739,5364.869,7.361001e-10,1.4453173e-10,8.673415e-12,2.0479905e-12,PowerLaw,2.0963937e-14,3.563501e-15,2.255443,0.10961328,2.6301244e-14,5.2211505e-15,2.3459456,0.24749286,0.16579215,2.0369303,2.5614857e-14,1.19973865e-14,1.7683072,1.217695,0.0020539113,0.0044393176,0.6666667,1.7746031,488.77716,11.811789,0.38005012,0.31074122,unid,16,2.2619973602533427e-11,7.412675473439378e-10,6.492793525048057e-10,1.4258456915161588e-10,3.1843253728292e-11,3.898323070600229e-12,Non-BLL,Non-FSRQ
3653,4FGL J1743.7-4321,0.050139926,0.03392,-53.68,586,,13.68166,1107.4303,1.0750328e-09,1.0305814e-10,6.3870124e-12,7.7459507e-13,LogParabola,8.995031e-13,8.3235204e-14,2.4454658,0.06637802,1.376094e-12,1.4095824e-13,2.1306894,0.15012154,0.5628505,5.9982777,1.3369732e-12,1.37126e-13,0.616219,0.32131845,0.019534932,0.0036019818,0.6666667,6.0288715,842.34326,14.846065,0.27151164,0.13657779,unid,4,7.280637426276826e-09,2.5005622017459928e-09,9.531003763996182e-10,8.410278029558071e-11,3.061059333797373e-15,2.940261000574122e-16,Non-BLL,Non-FSRQ
3654,4FGL J1743.8-3143,0.039223857,0.03169978,86.86,1657,,6.5098944,3408.8662,1.2089195e-09,2.1015636e-10,1.5462033e-11,3.6390257e-12,PowerLaw,9.089459e-14,1.4790672e-14,2.3651514,0.122054845,1.0527186e-13,1.944832e-14,2.536488,1.0086243,0.12817715,0.9902068,8.840422e-14,2.1045736e-14,2.4176548,0.10461428,-0.0002267466,0.0008499799,0.6666667,0.6457519,688.2676,3.4956877,0.0,9.999999,unid,0,1.0458469645868718e-09,8.36560509753781e-09,1.14317799670971e-09,1.9924052685471594e-10,2.245024652292038e-11,6.909654272357901e-12,Non-BLL,Non-FSRQ
3655,4FGL J1743.9-3539,0.2722234,0.11933673,21.05,1530,,5.545327,1114.3748,6.5217987e-10,1.8313505e-10,6.0793154e-12,1.9078545e-12,LogParabola,6.1953025e-13,1.284594e-13,2.6538873,0.12568726,1.0535518e-12,2.0244663e-13,2.830959,0.534239,0.6183602,3.6681774,1.0388922e-12,3.1099185e-13,0.9125158,1.3638192,0.024009459,0.01672407,0.6666667,3.5335774,622.2888,9.926415,0.31696478,0.26469153,unid,17,2.1106679071181134e-08,4.226205163604391e-09,3.9991029932018307e-10,4.577538001426795e-11,1.1872377748185797e-16,1.277610711046236e-14,Non-BLL,Non-FSRQ
3659,4FGL J1744.0-1311,0.027876075,0.025594182,43.1,973,,12.7269125,1644.263,1.1046037e-09,1.1086841e-10,6.173239e-12,8.334416e-13,LogParabola,3.6006937e-13,3.6558142e-14,2.290587,0.070970185,5.1113736e-13,5.7922586e-14,1.9876345,0.1553595,0.3992016,4.8932514,4.8861056e-13,5.6428786e-14,1.0440288,0.4289393,0.009196163,0.0032962542,0.6666667,4.9448805,619.22516,7.718011,0.0,10.0,unid,0,3.606191300437045e-12,2.1699897434501736e-09,7.821439607091918e-10,2.260640147300208e-10,1.3522482612826625e-11,1.208128924292127e-18,Non-BLL,Non-FSRQ
3665,4FGL J1744.7-1557,0.038545456,0.031761456,28.32,232,,10.64787,1411.7097,1.0057615e-09,1.14248166e-10,7.049156e-12,1.0515546e-12,LogParabola,4.7805336e-13,5.524664e-14,2.3978848,0.07592496,6.988477e-13,8.438986e-14,2.352907,0.14396799,0.34899935,4.714054,6.9526486e-13,8.5175987e-14,1.1772239,0.390516,0.012017537,0.0039046933,0.6666667,4.675988,778.6902,3.8374503,0.0,10.0,unid,0,2.4263222542231233e-08,2.992435632620527e-09,5.775414591013828e-10,1.612529831884757e-10,5.214142485832074e-12,1.3683468420844225e-12,Non-BLL,Non-FSRQ
3666,4FGL J1744.9-3322,0.046192873,0.036016874,16.53,314,,8.337873,2212.068,1.4939553e-09,1.7716636e-10,7.3799135e-12,1.400785e-12,LogParabola,2.201289e-13,3.368933e-14,2.4306135,0.090484075,3.7446974e-13,4.795854e-14,2.5209858,0.2298303,0.6174049,4.806449,3.7030887e-13,4.3936578e-14,0.64996934,0.22621262,0.015152559,0.0011004587,0.6666667,4.653261,670.40515,5.569938,0.0,10.0,unid,16,2.1750021783617512e-09,1.5539448616763707e-09,1.2724351572401815e-09,1.548531441963874e-10,1.2689542125410291e-11,1.4254587767422572e-16,Non-BLL,Non-FSRQ
3668,4FGL J1744.9-2153,0.05575215,0.03885382,32.16,317,,5.5844045,1612.3402,6.1605365e-10,1.100172e-10,8.806148e-12,1.832313e-12,PowerLaw,2.7875258e-13,4.94002e-14,2.4743664,0.11563494,3.6959075e-13,6.2934006e-14,2.5099669,0.2311285,0.21300437,2.385039,3.4411005e-13,1.5933576e-13,1.9682139,1.163947,0.004489885,0.011012297,0.6666667,1.9002619,590.07025,3.9820795,0.0,10.0,unid,8,1.2670443361173511e-08,2.536221455073928e-09,5.008672920858714e-10,6.92552404313318e-11,1.4615413046481507e-11,2.493972042771908e-12,Non-BLL,Non-FSRQ
3670,4FGL J1745.3+2338,0.17268364,0.11458793,59.63,1075,,5.5583267,716.9583,1.7912966e-10,4.1446353e-11,3.2798996e-12,6.5018623e-13,PowerLaw,7.22617e-13,1.2998222e-13,2.6630993,0.15636986,5.753599e-13,1.2605941e-13,2.7236395,0.107321516,-0.108253166,1.913664,7.0696715e-13,1.2615046e-13,2.7340376,0.13362685,-0.0006276962,0.0009039145,0.6666667,1.177534,539.0556,3.4238162,0.0,10.0,unid,513,1.4961772265564832e-08,1.272021932230416e-09,6.383183565050743e-11,1.972917315629097e-11,2.42626079817454e-12,1.2314455011264158e-11,Non-BLL,Non-FSRQ
3673,4FGL J1745.6-3626,0.038483784,0.02960291,8.36,1530,,7.4705253,1861.7108,7.0991335e-10,1.0218107e-10,9.033566e-12,1.4881999e-12,PowerLaw,2.2305225e-13,3.202099e-14,2.3593774,0.104820356,2.8242393e-13,3.9852853e-14,2.3069444,0.17465776,0.22083351,2.0043519,2.9853312e-13,4.7671136e-14,1.2513988,0.5715285,0.008986025,0.004307626,0.6666667,2.0703065,672.5157,8.157492,0.20930704,0.28844416,unid,0,3.820305849444594e-09,1.659305470802508e-09,5.395808799768531e-10,1.3950565702636197e-10,2.364071612082075e-12,1.1883822051417248e-11,Non-BLL,Non-FSRQ
