,GLON,GLAT,PSRness
4240,37.80112,-5.9291487,PSR
4277,57.354935,1.584406,PSR
4278,54.64999,0.08353669,PSR
4290,56.05722,0.065383896,PSR
4298,57.521698,-0.29455826,PSR
4320,343.89774,-29.572353,PSR
4341,68.77147,2.822558,PSR
4345,65.247505,0.37318152,PSR
4360,84.5863,11.019008,PSR
4366,65.888145,-0.3570589,PSR
4370,59.198574,-4.691877,PSR
4394,68.685074,-0.5386672,PSR
4396,43.38119,-15.774228,PSR
4428,48.62242,-16.033682,PSR
4431,27.348438,-26.206387,PSR
4432,74.51801,0.3891133,PSR
4436,75.229065,0.10907894,PSR
4437,78.2284,2.0817847,PSR
4441,76.858116,0.94499964,PSR
4465,73.35943,-3.011056,PSR
4471,76.123405,-1.4454825,PSR
4477,82.350204,2.8823957,PSR
4483,80.22936,1.0241405,PSR
4524,61.914936,-15.316712,PSR
4525,70.62229,-9.1453085,PSR
4538,57.05233,-19.729216,PSR
4551,39.211792,-30.38715,PSR
4556,59.127052,-19.991049,PSR
4565,70.697464,-12.519716,PSR
4611,88.31334,-1.4542791,PSR
4646,10.92684,-45.44508,PSR
4653,48.932602,-36.960136,PSR
4680,92.640755,-4.0291004,PSR
4748,103.72043,3.7383177,PSR
4755,92.61841,-12.093593,PSR
4774,86.85806,-21.672745,PSR
4777,99.87238,-4.1691537,PSR
4808,106.648445,2.9486632,PSR
4822,76.26742,-40.44269,PSR
4836,106.56408,0.47540694,PSR
4841,106.56419,-0.10114801,PSR
4847,337.4522,-54.934147,PSR
4891,59.21305,-58.27645,PSR
4905,103.39782,-13.992452,PSR
4916,69.69335,-57.90006,PSR
5012,81.348,-62.475372,PSR
