,model name,TSS Value,setting,TP,FN,TN,FP
0,サポートベクターマシン(ploy),0.7447922524211185,"{'C': 2, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.5000000000000001, 'kernel': 'poly'}",56,19,1065,2
1,サポートベクターマシン(RBFカーネル),0.7438550452983443,"{'C': 11, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",56,19,1064,3
2,サポートベクターマシン(linear),0.6523961262105592,"{'C': 2, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'linear'}",49,26,1066,1
3,ガウシアンナイーブベイズ,0.6390627928772259,no-setting,48,27,1066,1
4,ベルヌーイナイーブベイズ,0.7429178381755702,no-setting,56,19,1063,4
5,ロジスティック回帰,0.8629178381755702,no-setting,65,10,1063,4
6,k近傍法,0.6523961262105592,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5}",49,26,1066,1
7,勾配ブースティング,0.8,"{'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 70, 'min_samples_split': 7, 'subsample': 0.6}",60,15,1067,0
8,ランダムフォレスト,0.8381255857544517,no-setting,63,12,1065,2
,model name,TSS Value,setting,TP,FN,TN,FP
0,サポートベクターマシン(ploy),0.9290762177360116,"{'C': 3, 'class_weight': 'balanced', 'degree': 1, 'gamma': 1.1000000000000003, 'kernel': 'poly'}",70,4,1049,18
1,サポートベクターマシン(RBFカーネル),0.8601788292509942,"{'C': 15, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.02, 'kernel': 'rbf'}",64,10,1062,5
2,サポートベクターマシン(linear),0.9300134248587857,"{'C': 5, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'linear'}",70,4,1050,17
3,ガウシアンナイーブベイズ,0.6477114415258746,no-setting,48,26,1066,1
4,ベルヌーイナイーブベイズ,0.8144076597684845,no-setting,62,12,1042,25
5,ロジスティック回帰,0.9272018034904633,no-setting,70,4,1047,20
6,k近傍法,0.7259809012386332,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3}",54,20,1063,4
7,勾配ブースティング,0.795422883051749,"{'max_depth': 4, 'max_features': 'sqrt', 'min_samples_leaf': 10, 'min_samples_split': 3, 'subsample': 0.8999999999999999}",59,15,1065,2
8,ランダムフォレスト,0.7926112616834265,no-setting,59,15,1062,5
,model name,TSS Value,setting,TP,FN,TN,FP
0,サポートベクターマシン(ploy),0.5318949343339587,"{'C': 3, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.30000000000000004, 'kernel': 'poly'}",74,0,567,499
1,サポートベクターマシン(RBFカーネル),0.697175599614624,"{'C': 9, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",72,2,772,294
2,サポートベクターマシン(linear),0.5525328330206378,"{'C': 2, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'linear'}",74,0,589,477
3,ガウシアンナイーブベイズ,0.6034176765884083,no-setting,45,29,1061,5
4,ベルヌーイナイーブベイズ,0.7978804320267735,no-setting,63,11,1009,57
5,ロジスティック回帰,0.5365853658536586,no-setting,74,0,572,494
6,k近傍法,0.8414127072663659,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 5}",64,10,1041,25
7,勾配ブースティング,0.8637746564575832,"{'max_depth': 7, 'max_features': 'sqrt', 'min_samples_leaf': 20, 'min_samples_split': 7, 'subsample': 0.7}",71,3,964,102
8,ランダムフォレスト,0.1525277622838599,no-setting,73,1,177,889
