,Source_Name,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_95_PosAng,ROI_num,Extended_Source_Name,Signif_Avg,Pivot_Energy,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,SpectrumType,PL_Flux_Density,Unc_PL_Flux_Density,PL_Index,Unc_PL_Index,LP_Flux_Density,Unc_LP_Flux_Density,LP_Index,Unc_LP_Index,LP_beta,LP_SigCurv,PLEC_Flux_Density,Unc_PLEC_Flux_Density,PLEC_Index,Unc_PLEC_Index,PLEC_Expfactor,Unc_PLEC_Expfactor,PLEC_Exp_Index,PLEC_SigCurv,Npred,Variability_Index,Frac_Variability,Unc_Frac_Variability,CLASS1,Flags,Flux50_100,Flux300_1000,Flux1000_3000,Flux3000_10000,Flux10000_30000,Flux30000_100000,AGNness,PSRness
1466,4FGL J0808.2-0751,0.0075857453,0.0073390547,-54.08,1230,,94.76623,665.7421,7.546988e-09,1.6998847e-10,7.066514e-11,1.6453056e-12,LogParabola,2.0955297e-11,3.7860906e-13,2.1953552,0.01371657,2.30643e-11,4.7807396e-13,2.085616,0.022236193,0.09048536,8.773284,2.2159413e-11,4.3569285e-13,1.9513733,0.033400446,0.0023955076,0.00032268866,0.6666667,8.832809,7260.0083,1113.7057,0.61018074,0.16404521,fsrq,0,9.661496847002127e-08,2.335404225561888e-08,5.913971534710072e-09,1.4479083487728417e-09,2.438957646955231e-10,1.2078225572476065e-11,AGN,Non-PSR
1467,4FGL J0808.5+4950,0.07228044,0.06722327,18.45,1281,,11.3315735,403.00934,2.2595388e-10,3.3806857e-11,5.1643126e-12,4.9011717e-13,PowerLaw,5.221044e-12,4.8999243e-13,2.8055007,0.07980449,6.050411e-12,6.71045e-13,2.7230089,0.11407656,0.14420658,1.8591223,5.9742315e-12,6.2936207e-13,2.323942,0.23323402,0.00914336,0.0043057012,0.6666667,2.2447462,1100.1711,13.600325,0.21056162,0.12484341,fsrq,0,7.95355514782159e-09,1.8578274474378986e-09,2.5686749949294096e-10,6.279528112773658e-12,2.1733205241968728e-14,2.3539213113432655e-12,AGN,Non-PSR
1468,4FGL J0809.3+4053,0.071108654,0.054333676,-76.97,1069,,7.486858,550.76166,1.769357e-10,3.4396746e-11,3.389095e-12,4.8416945e-13,PowerLaw,1.4935878e-12,2.0603795e-13,2.6934264,0.1157039,1.6307633e-12,2.6878703e-13,2.615848,0.17246439,0.07954322,0.87895507,1.6231451e-12,2.4848244e-13,2.3954341,0.29085854,0.0038731913,0.003735582,0.6666667,1.2192013,651.9662,34.498844,0.7176112,0.2398903,fsrq,0,3.928837255529061e-09,1.2777174873690456e-09,1.1972438318519352e-10,3.067063616968291e-11,1.7364628713688836e-17,4.085668979734834e-16,AGN,Non-PSR
1470,4FGL J0809.5+5341,0.021770474,0.020166982,-38.19,1144,,22.446842,811.48486,7.1216005e-10,5.3514065e-11,6.9627247e-12,6.426789e-13,LogParabola,1.4691042e-12,9.210362e-14,2.3628612,0.051149357,1.629626e-12,1.157337e-13,2.226598,0.087573424,0.11976482,2.9405303,1.5875363e-12,1.0953021e-13,1.9776211,0.14196545,0.0036794944,0.0013445409,0.6666667,3.3441012,1207.2688,173.1476,0.9013368,0.24991314,fsrq,0,3.4740750720629876e-08,2.7072002417583008e-09,5.526958890555989e-10,1.2812090277591892e-10,1.4057704653125391e-11,3.1356674780991895e-15,AGN,Non-PSR
1471,4FGL J0809.6+3455,0.023250619,0.021955492,2.9,293,,12.370838,3852.5962,2.827659e-10,3.8612787e-11,3.3799788e-12,4.7093807e-13,PowerLaw,2.024619e-14,2.7232516e-15,1.8461267,0.09016449,2.0727077e-14,3.269705e-15,1.8390418,0.09748916,0.010158719,0.2629395,2.0243794e-14,2.894988e-15,1.8474373,0.1269879,-3.1799887e-06,0.00023630256,0.6666667,0.0,254.44205,8.330201,0.12786296,0.3896888,bll,0,6.4402250893325075e-12,5.644055223186228e-10,1.694603762869562e-10,7.893886239118686e-11,1.809159592969234e-11,1.8007298777100722e-11,AGN,Non-PSR
1473,4FGL J0809.8+5218,0.006413964,0.006228945,19.1,1144,,87.00447,1296.9983,4.2780415e-09,1.1227355e-10,4.4462746e-11,1.5086534e-12,LogParabola,2.2496098e-12,5.465421e-14,1.8839667,0.016921435,2.3500921e-12,6.2980105e-14,1.8024062,0.027800478,0.04128265,3.1976478,2.2887948e-12,5.790868e-14,1.7739598,0.03097152,0.00045888018,0.0001166123,0.6666667,3.519753,3794.3455,290.40283,0.43556276,0.11903337,BLL,0,7.779593858003864e-09,7.0613563885046915e-09,2.6395376995225206e-09,1.1554138756864063e-09,3.485111921275319e-10,1.4751742882790353e-10,AGN,Non-PSR
1474,4FGL J0811.0-7529,0.0088192,0.008325819,-46.67,332,,50.80207,1639.6831,2.5616587e-09,9.7001865e-11,2.4152642e-11,1.247308e-12,LogParabola,8.750536e-13,3.192591e-14,1.9331819,0.026081279,9.469739e-13,3.9028744e-14,1.8148941,0.04248687,0.07248989,3.992227,9.152788e-13,3.5863002e-14,1.7155038,0.059356265,0.00097252626,0.00025747876,0.6666667,4.279269,1983.6781,20.533073,0.13722855,0.056913417,bll,0,7.911320487608009e-09,4.436821132713931e-09,1.637116442410047e-09,6.26433349637523e-10,2.0230328523496155e-10,5.7216127669068584e-11,AGN,Non-PSR
1475,4FGL J0811.4+0146,0.009497601,0.009250909,-32.03,693,,61.07979,895.42413,3.6443597e-09,1.206748e-10,3.4331826e-11,1.3503526e-12,LogParabola,4.863169e-12,1.385048e-13,2.1054082,0.021104315,5.2170985e-12,1.6969153e-13,2.029608,0.026916089,0.060614966,4.405997,5.0516835e-12,1.5481968e-13,1.9495101,0.04388299,0.0011617626,0.00030815558,0.6666667,4.5169826,3378.3105,454.84143,0.60637146,0.16462645,bll,0,4.5694438455257114e-08,9.388720911829296e-09,2.5782334045487687e-09,8.141249896453928e-10,1.505914698496369e-10,3.914387217140991e-11,AGN,Non-PSR
1477,4FGL J0812.0+0237,0.019796945,0.016466618,-79.17,693,,15.223613,4189.2817,4.5304177e-10,5.6072733e-11,5.289114e-12,6.3190365e-13,PowerLaw,2.740115e-14,3.2427987e-15,1.8847411,0.095042445,2.5888859e-14,3.619038e-15,1.9255342,0.09608148,-0.031217888,0.7001615,2.7581134e-14,3.4494496e-15,1.8690443,0.1447065,3.6302812e-05,0.0002595341,0.6666667,0.12696156,352.54645,3.9165215,0.0,9.999999,bll,0,1.1646686393085304e-10,1.1391551035799807e-09,2.377915642171047e-10,1.1166600283329942e-10,4.463719324721005e-11,2.177156024907312e-11,AGN,Non-PSR
1478,4FGL J0812.3+1143,0.10422691,0.08405993,41.81,1535,,5.1597815,742.3376,1.3273077e-10,3.2158495e-11,2.2430282e-12,4.6903806e-13,PowerLaw,4.6376233e-13,9.1139085e-14,2.6067555,0.15465693,5.111751e-13,1.1825644e-13,2.5583913,0.19592938,0.07603168,0.7024007,5.038238e-13,1.1002794e-13,2.3634386,0.3485664,0.0028199118,0.0038385293,0.6666667,0.8415191,356.52966,4.929437,0.0,10.0,bll,1,1.137692429153958e-08,8.366867754183716e-10,1.0677961986838014e-10,2.7643682481981457e-11,5.077867756978556e-16,2.5154589426912765e-15,AGN,Non-PSR
1481,4FGL J0812.8+6507,0.030898036,0.02670429,-68.75,776,,9.310089,3190.2346,2.3093373e-10,3.6601944e-11,2.5671342e-12,4.0354254e-13,PowerLaw,2.2713356e-14,3.5404018e-15,2.0398448,0.12182236,2.4143626e-14,4.4836186e-15,1.9890982,0.1536181,0.043249782,0.5430638,2.3348929e-14,3.8554094e-15,1.9548815,0.18921287,0.00025709314,0.000504933,0.6666667,0.50281155,327.68857,5.99226,0.09911945,0.5351684,bll,0,1.024999529697368e-10,6.027313093071029e-10,1.638491980981982e-10,5.5148899336110446e-11,1.0270824121749733e-11,7.712145158600414e-12,AGN,Non-PSR
1482,4FGL J0812.9+5555,0.02738269,0.026889311,-21.09,1254,,7.701498,2225.7808,1.8525348e-10,3.2087753e-11,2.0819073e-12,3.655392e-13,PowerLaw,3.831755e-14,6.6341992e-15,2.1471515,0.13023767,4.1403706e-14,8.611112e-15,2.0870798,0.16947994,0.053279795,0.6029983,4.0925085e-14,7.778604e-15,1.9636112,0.28018567,0.00082806667,0.0011958047,0.6666667,0.84189147,292.43393,14.097039,0.39552668,0.23445635,bll,0,1.2336067278795326e-08,5.528936752874358e-10,1.247986713970306e-10,4.132195280392992e-11,1.6603982078144952e-11,2.573775255285604e-16,AGN,Non-PSR
1485,4FGL J0814.2-1013,0.013074618,0.01245789,16.42,1255,,22.740593,2002.6034,1.0580704e-09,7.405381e-11,1.1760445e-11,8.18129e-13,PowerLaw,2.714576e-13,1.8785736e-14,2.0818284,0.053302035,2.867847e-13,2.3321902e-14,2.047681,0.06812642,0.03733901,1.1518451,2.8393306e-13,2.1373984e-14,1.9550345,0.104322396,0.0006097,0.00046547985,0.6666667,1.5174828,1042.9795,24.327198,0.30674863,0.11420871,bll,0,1.2884297578494297e-12,2.521693964752103e-09,7.931098555680194e-10,2.5518231971943806e-10,6.080405623443141e-11,1.2717210097490383e-11,AGN,Non-PSR
1487,4FGL J0814.4+2941,0.033611637,0.027197674,-47.44,510,,7.1255765,4081.823,1.7835691e-10,4.038691e-11,1.9827178e-12,4.4239138e-13,PowerLaw,1.0612622e-14,2.2699854e-15,2.0395277,0.15405716,1.2179217e-14,2.984356e-15,1.9848826,0.21148938,0.096063465,0.9469529,1.215285e-14,2.9048394e-15,1.7129657,0.3795472,0.0012097841,0.0013469463,0.6666667,1.0578501,204.52126,4.980868,0.0,10.0,bll,0,7.858863164183702e-14,2.808864252301646e-10,1.3649814611937927e-10,3.6590210028553116e-11,1.7436690979977243e-11,2.963912535541846e-12,AGN,Non-PSR
1488,4FGL J0814.6+6430,0.011039418,0.0102993455,-9.65,776,,44.032295,1133.9967,1.68105e-09,6.6281106e-11,1.9677248e-11,6.8436565e-13,PowerLaw,1.5818525e-12,5.4841233e-14,2.2440727,0.028357228,1.6230324e-12,6.518921e-14,2.231687,0.03205442,0.019478118,1.1508912,1.6207339e-12,6.048762e-14,2.1733782,0.049336724,0.0005435929,0.0003269622,0.6666667,1.8003236,3158.0479,82.797775,0.3026432,0.08819239,bll,0,3.105761336996693e-08,5.838896477428079e-09,1.2784380221120273e-09,3.4566310924688537e-10,6.908077582190586e-11,1.2502188520557844e-11,AGN,Non-PSR
1490,4FGL J0815.6+3641,0.07036859,0.051620074,39.66,608,,4.355559,1829.9355,1.3736763e-10,3.365736e-11,1.6205026e-12,4.1337978e-13,PowerLaw,4.4273257e-14,1.0756286e-14,2.2574074,0.18243048,4.7843843e-14,1.3054787e-14,2.2152476,0.2385027,0.055810146,0.56414294,4.778349e-14,1.25266966e-14,2.0166175,0.4207723,0.0013038956,0.0021179435,0.6666667,0.7690221,230.65262,2.17165,0.0,10.0,fsrq,0,5.6939617465445735e-09,6.827832743638851e-10,7.164539794768388e-11,3.213814284142025e-11,7.364647086616216e-12,4.341972282197819e-17,AGN,Non-PSR
1492,4FGL J0816.1+4909,0.04495942,0.039902255,-57.15,1281,,7.7372956,2656.6074,2.0045456e-10,3.4771467e-11,2.2275127e-12,3.861491e-13,PowerLaw,2.8630025e-14,4.9630756e-15,2.045788,0.121281825,3.2083714e-14,6.5187084e-15,1.9964315,0.15670767,0.07086474,0.9563823,3.023562e-14,5.7196175e-15,1.9280694,0.22801942,0.0004851643,0.0008547262,0.6666667,0.6854363,258.3147,6.19711,0.0,10.0,bll,0,8.012087521214184e-12,4.527624108963124e-10,1.2406639604556347e-10,5.455262283571294e-11,1.4051479597931849e-11,3.0183138974293477e-12,AGN,Non-PSR
1493,4FGL J0816.3+5739,0.01128611,0.010916073,63.33,1254,,37.264244,1483.7633,1.266018e-09,5.882706e-11,1.4077102e-11,6.4128016e-13,PowerLaw,6.0794024e-13,2.6359592e-14,2.0870137,0.033853393,6.583507e-13,3.3693666e-14,2.0327728,0.044185333,0.057072826,2.527501,6.381041e-13,3.00031e-14,1.9497383,0.06504143,0.00079681963,0.00035063818,0.6666667,2.5269165,1839.8918,29.141325,0.22173281,0.07773279,bll,0,2.5348883880838002e-08,3.3948373001635446e-09,9.072918527586182e-10,3.2917091274953236e-10,5.3704297953149904e-11,2.534982120050433e-11,AGN,Non-PSR
1494,4FGL J0816.4-1311,0.010052655,0.0094359275,-82.89,904,,39.188904,2070.2256,1.94364e-09,9.784058e-11,2.0598785e-11,1.3142553e-12,LogParabola,4.128041e-13,2.0440123e-14,1.8271571,0.033026464,4.4500138e-13,2.4671415e-14,1.7087417,0.055068605,0.06300753,2.823117,4.3035814e-13,2.277949e-14,1.6252282,0.068869986,0.0006788062,0.00022109627,0.6666667,3.3634906,1122.3319,68.62523,0.42570654,0.1259335,bll,0,9.735999562110464e-09,2.8049715883327053e-09,1.0577773101871912e-09,5.654730017567999e-10,1.6252688084250622e-10,8.659759714868542e-11,AGN,Non-PSR
1497,4FGL J0816.9+2050,0.021585455,0.019550255,54.72,890,,11.078413,2895.8481,3.1078748e-10,4.265092e-11,3.5343698e-12,4.960188e-13,PowerLaw,3.7620802e-14,5.1593408e-15,1.9404618,0.091957636,4.700759e-14,7.553782e-15,1.821243,0.15644991,0.15724187,2.3234549,4.4731685e-14,6.9745608e-15,1.4792198,0.28138214,0.0020076165,0.0012619597,0.6666667,2.317628,288.36362,7.4247355,0.036388945,1.0387853,bll,0,4.1242547571540555e-12,3.9909686666561583e-10,2.218684402865989e-10,1.0662922628190685e-10,2.0551147589253915e-11,7.515476088681972e-12,AGN,Non-PSR
1500,4FGL J0817.8+3243,0.026889311,0.024545746,-13.6,293,,7.370889,3220.1726,2.3595834e-10,4.5738753e-11,2.6254994e-12,5.180492e-13,PowerLaw,2.2440044e-14,4.261031e-15,2.0945032,0.13707921,2.4778605e-14,5.2344785e-15,2.0334165,0.21601155,0.081128,1.0395694,2.5144036e-14,5.3569743e-15,1.7239275,0.44391108,0.0014933009,0.0016555495,0.6666667,1.3754007,298.80185,2.530774,0.0,10.0,bll,0,2.9733916717678e-11,4.0372225007523355e-10,1.5230623706674606e-10,6.005226177441259e-11,1.9913218643474728e-11,2.952873839542902e-12,AGN,Non-PSR
1501,4FGL J0817.8-0934,0.015541527,0.014863128,80.17,1255,,28.216877,1324.653,1.5126045e-09,9.164113e-11,1.2294069e-11,1.0084838e-12,LogParabola,8.2668713e-13,4.6761196e-14,2.07487,0.041071456,9.366623e-13,6.077906e-14,1.9237105,0.071874976,0.1184647,3.7708478,8.9757254e-13,5.6341132e-14,1.7384949,0.11738324,0.0021101092,0.0007521824,0.6666667,3.810178,1104.5647,18.105587,0.20920084,0.089408495,bll,0,5.142068021379842e-11,2.786899377937857e-09,1.1641547725815826e-09,3.144413895928011e-10,7.819993957935978e-11,9.113874585575665e-12,AGN,Non-PSR
1502,4FGL J0818.2+4222,0.007215709,0.0070923637,-77.21,723,,97.0432,752.48914,5.8421232e-09,1.3354985e-10,5.237609e-11,1.3703448e-12,LogParabola,1.1253069e-11,2.102923e-13,2.1166067,0.014177866,1.22833774e-11,2.6244328e-13,2.0002155,0.02323454,0.08582347,8.006225,1.1847684e-11,2.4034507e-13,1.8737108,0.034176312,0.0020844263,0.0002888433,0.6666667,8.497128,6315.4404,222.75304,0.28146043,0.077448554,bll,0,6.787750095327283e-08,1.553874540149991e-08,4.3064001253867445e-09,1.2664039816812078e-09,2.4024227052166225e-10,2.4808360227224213e-11,AGN,Non-PSR
1503,4FGL J0818.4+2816,0.04360262,0.029232875,20.3,510,,8.9517145,3006.8777,2.5282437e-10,4.1126692e-11,2.8167679e-12,4.554123e-13,PowerLaw,2.8159793e-14,4.5522477e-15,2.0184896,0.11363158,3.418332e-14,6.385589e-15,1.9248124,0.16785146,0.14461662,1.7890937,3.2056585e-14,5.8419007e-15,1.6698098,0.2895998,0.0014750162,0.0012369282,0.6666667,1.5875047,274.59604,18.00438,0.68308574,0.28184614,bll,0,1.0143933083925014e-13,2.0042027759625825e-10,2.6936439190272665e-10,3.06144137818265e-11,2.338244181609994e-11,5.810405975803512e-12,AGN,Non-PSR
1504,4FGL J0818.7+3153,0.044466037,0.042800874,-50.67,293,,5.5015616,2826.2468,1.4740323e-10,3.4557465e-11,1.6436382e-12,3.9311027e-13,PowerLaw,1.8376104e-14,4.277736e-15,2.1107128,0.16959034,2.0550442e-14,5.3477146e-15,2.0601265,0.23404124,0.079311855,0.79823387,2.03263e-14,5.233035e-15,1.8345219,0.4083338,0.0012039832,0.0016838887,0.6666667,0.8883424,189.59445,26.544321,0.8793775,0.3466678,bll,0,3.527092029900758e-12,2.710388025128907e-10,1.206478111859255e-10,3.420594710257241e-11,1.0027014808733359e-11,2.957714114452297e-16,AGN,Non-PSR
1505,4FGL J0818.8+3229,0.046501238,0.043910984,-30.09,293,,4.2783804,2891.4102,1.5404442e-10,4.205333e-11,1.7884048e-12,5.453766e-13,PowerLaw,1.7815046e-14,4.7873442e-15,2.2289526,0.18365234,2.0256342e-14,5.7550523e-15,2.217597,0.29660174,0.10996366,1.0264337,2.0297711e-14,6.09407e-15,1.8269653,0.62978345,0.0021482625,0.0030253266,0.6666667,1.1421306,238.74277,14.013786,0.5555581,0.41860738,fsrq,16,7.026697557144246e-10,8.762046643795429e-10,1.0832788138737115e-10,3.449100033359187e-11,6.229647873945421e-12,9.822271983392014e-15,AGN,Non-PSR
1506,4FGL J0819.0+2746,0.041444074,0.036756948,74.95,510,,9.121095,1951.2262,2.7740138e-10,4.1387532e-11,3.1490834e-12,4.7247156e-13,PowerLaw,7.652685e-14,1.1335614e-14,2.1785927,0.11368624,8.455728e-14,1.4362341e-14,2.1151638,0.1727402,0.08948265,1.185667,8.675645e-14,1.4829636e-14,1.7554847,0.38931563,0.002591878,0.0023687691,0.6666667,1.6095263,385.10312,3.6559765,0.0,9.999999,bll,0,1.557296479270942e-11,1.0682882356505274e-09,1.5727261160058958e-10,8.466188167188804e-11,1.0751434464939535e-11,1.370376679131647e-18,AGN,Non-PSR
1507,4FGL J0819.4-0756,0.031083055,0.02664262,50.26,1255,,7.414956,6346.3843,1.9039775e-10,4.6368603e-11,2.3507641e-12,5.085976e-13,PowerLaw,5.606604e-15,1.2115356e-15,1.801613,0.15647472,5.3263867e-15,1.3935299e-15,1.8305429,0.15486836,-0.024648769,0.33378008,5.8368566e-15,1.3572799e-15,1.6983044,0.26653165,0.00019441372,0.0004262371,0.6666667,0.4427159,131.91373,1.8447613,0.0,10.0,bll,0,6.834620425166804e-09,4.841604894778584e-10,8.871794271447797e-11,3.901458323074536e-11,2.4300101861274293e-11,1.2019624011372354e-11,AGN,Non-PSR
1509,4FGL J0820.3+3639,0.022387201,0.020537019,50.14,608,,12.766391,1585.371,3.7885942e-10,4.2952752e-11,4.4359416e-12,4.9556485e-13,PowerLaw,1.6810469e-13,1.8454358e-14,2.244578,0.086817466,1.6897231e-13,2.1485428e-14,2.2418642,0.09173923,0.003373914,0.0945727,1.6921191e-13,1.9536117e-14,2.226028,0.12929027,9.494749e-05,0.000522294,0.6666667,0.1942665,617.99097,10.560593,0.18965265,0.16677867,bll,0,1.1485024487001283e-08,1.4174431628433126e-09,2.422445022354225e-10,8.01016197815585e-11,1.9506724360796035e-11,3.150908787358242e-12,AGN,Non-PSR
1510,4FGL J0820.9+2353,0.02257222,0.020907056,80.93,724,,8.287166,2056.742,2.3645438e-10,3.895621e-11,2.7475268e-12,4.912066e-13,PowerLaw,5.843475e-14,9.605123e-15,2.2306023,0.15619694,5.1178893e-14,9.761963e-15,2.3414705,0.11445669,-0.07887029,1.3416857,5.8010054e-14,9.796577e-15,2.2677202,0.20821154,-0.00012207152,0.00049988023,0.6666667,0.22514066,341.1871,7.4798803,0.0,10.0,bll,0,3.1038815961892396e-08,7.934923274000028e-10,1.7128100326946338e-10,3.815795249217935e-11,1.0902538420676233e-11,7.278360206197654e-12,AGN,Non-PSR
1511,4FGL J0820.9-1258,0.038545456,0.033796657,33.95,904,,8.00862,1351.612,2.864267e-10,4.6059385e-11,3.6460626e-12,5.903811e-13,PowerLaw,1.9159586e-13,2.919657e-14,2.359789,0.121137895,1.9009875e-13,3.3578646e-14,2.3615334,0.11975096,-0.00503884,0.06812997,1.9282278e-13,3.0956066e-14,2.3423884,0.17055742,0.00011275361,0.000854139,0.6666667,0.14284398,457.03143,5.372814,0.0,10.0,bll,0,6.497204996236405e-10,9.380523025015464e-10,2.3527946257928534e-10,4.209429679824517e-11,1.7191126994164918e-11,1.512538898857242e-15,AGN,Non-PSR
1516,4FGL J0823.1-6330,0.03589353,0.03274822,36.9,722,,4.5592113,8130.8433,1.04683553e-10,3.7839256e-11,1.292166e-12,3.9996552e-13,PowerLaw,1.9720344e-15,6.063958e-16,1.8019271,0.19671996,2.123744e-15,7.942501e-16,1.7695285,0.2334958,0.03508207,0.32452497,2.0483328e-15,6.799628e-16,1.7288038,0.30295986,0.00013485602,0.00044350838,0.6666667,0.27913365,86.896385,3.5001807,0.0,10.0,bll,0,5.788533888329006e-11,7.20288942358414e-18,5.295260063764573e-11,4.5352929745057224e-11,5.277181903268202e-12,7.1688865781183164e-12,AGN,Non-PSR
1517,4FGL J0823.1+4042,0.031144729,0.026334256,59.77,723,,10.839884,1246.1375,3.007231e-10,3.9313962e-11,3.9742753e-12,5.2001643e-13,PowerLaw,2.4861236e-13,2.9675386e-14,2.4002404,0.109758414,2.3819485e-13,3.2488975e-14,2.430339,0.105948105,-0.031573594,0.5903549,2.4821968e-13,3.0832694e-14,2.4059296,0.15644927,-3.2008535e-05,0.0006725848,0.6666667,0.03357527,634.99615,54.355267,0.96163577,0.29097632,fsrq,4,7.65307728300968e-09,1.2243781544185595e-09,2.578091629068524e-10,2.8560603534955042e-11,2.056967270125387e-11,1.0104395788232846e-15,AGN,Non-PSR
1518,4FGL J0823.3+2224,0.03237818,0.0318848,-75.58,724,,7.6885524,1316.6283,2.3714555e-10,3.9005337e-11,2.9877591e-12,4.842327e-13,PowerLaw,1.6784321e-13,2.6083777e-14,2.3478255,0.11809527,1.9032397e-13,3.5003576e-14,2.2968075,0.15394883,0.09718094,1.1672809,1.8087212e-13,3.1623924e-14,2.129615,0.2755876,0.001683075,0.0020459567,0.6666667,1.0248117,410.8221,11.885479,0.36401197,0.25175554,bll,0,4.5820760380399506e-12,1.164933816077962e-09,1.871983540402411e-10,3.943416426732682e-11,1.1254033295549082e-11,2.6320739919462755e-15,AGN,Non-PSR
1521,4FGL J0824.4+2440,0.03712698,0.032563202,-82.34,724,,10.028506,1142.3628,2.9002045e-10,4.0592703e-11,4.4041893e-12,6.773755e-13,PowerLaw,3.162275e-13,3.9049052e-14,2.5252278,0.12733853,2.9455702e-13,4.1097036e-14,2.5782213,0.10094343,-0.057688724,1.0615764,3.1760496e-13,4.1254377e-14,2.5061984,0.21254215,0.00015160094,0.001182855,0.6666667,0.1264534,695.4539,19.317333,0.4588267,0.19186959,fsrq,0,3.194826347918678e-10,1.2959171513671208e-09,2.200722520884213e-10,5.312699585813263e-11,1.4056313404897658e-11,2.438703061648402e-14,AGN,Non-PSR
1522,4FGL J0824.7+5552,0.023620656,0.022263855,-71.13,1254,,21.83576,591.7592,5.3742455e-10,4.2503903e-11,9.16395e-12,5.2873016e-13,PowerLaw,3.4159487e-12,1.9275236e-13,2.613242,0.04858027,3.5931859e-12,2.392157e-13,2.5916655,0.056520324,0.0421775,1.2521752,3.5488936e-12,2.2155445e-13,2.4995396,0.101098925,0.0015282545,0.0012366814,0.6666667,1.3792328,1868.1687,97.777534,0.55690664,0.15932721,fsrq,0,5.299707339645465e-09,3.280142157890964e-09,4.990541868643561e-10,5.4748323929931786e-11,1.2504219881748213e-11,2.5955264260963838e-15,AGN,Non-PSR
1523,4FGL J0824.9+3915,0.025347492,0.023744,-42.65,723,,21.86652,833.88995,6.488149e-10,5.0190112e-11,9.015412e-12,5.649057e-13,PowerLaw,1.4680341e-12,9.0332906e-14,2.4488854,0.05418881,1.542628e-12,1.1183672e-13,2.419394,0.06725452,0.044391066,1.1852624,1.544183e-12,1.0611226e-13,2.2756798,0.12800962,0.0018075709,0.0012498184,0.6666667,1.7232282,1473.8622,27.830273,0.29036278,0.10366336,fsrq,0,6.173939581799459e-09,3.3058673576391584e-09,5.164879079977425e-10,1.220465534190751e-10,6.923563718869152e-12,5.988459939012451e-16,AGN,Non-PSR
1524,4FGL J0825.8+0309,0.022387201,0.018995201,-6.95,1344,,19.670315,1338.9844,6.988329e-10,5.6645494e-11,8.069351e-12,6.003423e-13,PowerLaw,4.470519e-13,3.325411e-14,2.2182126,0.062999375,4.596006e-13,3.9837393e-14,2.198139,0.07576413,0.021108683,0.53692466,4.6249636e-13,3.7070414e-14,2.1071327,0.122085705,0.00069664774,0.00069234415,0.6666667,1.0976913,892.3202,3.0728285,0.0,10.0,bll,0,6.253876305706285e-10,1.925912762601456e-09,5.324796159555945e-10,1.6023760096572914e-10,3.394729983230427e-11,6.064202525551954e-12,AGN,Non-PSR
1526,4FGL J0825.9-2230,0.0074624,0.0074007274,-22.12,720,,70.49609,1089.4574,4.6615765e-09,1.3740277e-10,4.2816976e-11,1.5992175e-12,LogParabola,3.6813256e-12,9.7577355e-14,1.9929407,0.018891377,3.975956e-12,1.1876948e-13,1.8884947,0.030145058,0.0678017,5.2480316,3.8394665e-12,1.08953475e-13,1.7930455,0.041274317,0.0011854076,0.0002378469,0.6666667,5.797936,3513.3848,210.09496,0.38939804,0.10762254,bll,0,2.6211575132606413e-08,9.665378719603268e-09,2.9158120362637874e-09,1.2032754792556943e-09,2.997053993869514e-10,5.0507618920558883e-11,AGN,Non-PSR
1529,4FGL J0826.4-6404,0.018008437,0.015233165,59.06,722,,13.843457,5091.483,3.986848e-10,5.1848557e-11,4.880875e-12,6.084449e-13,PowerLaw,1.736409e-14,2.1342147e-15,1.8125762,0.083625644,1.9136531e-14,2.8585244e-15,1.7504791,0.119146295,0.05589723,1.1052939,1.918928e-14,2.661684e-15,1.5569268,0.20539787,0.00064080645,0.00050043775,0.6666667,1.6650794,335.14774,13.005329,0.3907479,0.19769976,bll,0,2.2002552557687238e-10,6.412940734001893e-10,2.6860499935388304e-10,8.787050254088768e-11,4.269546174939798e-11,2.6535863784094005e-11,AGN,Non-PSR
1530,4FGL J0827.0-0708,0.022880582,0.02010531,34.24,1255,,13.05759,4361.7227,3.5942602e-10,4.829021e-11,4.4751056e-12,6.15832e-13,PowerLaw,2.0874344e-14,2.7415693e-15,1.7911298,0.08533875,2.6950764e-14,4.200192e-15,1.6622446,0.1456527,0.17279832,2.6930277,2.5335643e-14,3.8725643e-15,1.3130916,0.26823574,0.0015818928,0.0009490932,0.6666667,2.5294476,251.46844,17.822756,0.38567862,0.18742916,bll,0,6.751563891294055e-11,1.7985556099997524e-10,2.0912087339564067e-10,1.3013889965662884e-10,2.631980050571414e-11,1.6288788026730394e-11,AGN,Non-PSR
1534,4FGL J0827.8+5221,0.03823709,0.034968436,-19.7,1292,,4.6439323,2194.9543,1.370044e-10,3.342389e-11,1.7000072e-12,5.001101e-13,PowerLaw,2.9234146e-14,7.129858e-15,2.3293302,0.19498256,2.7410181e-14,7.6440065e-15,2.3388164,0.16024038,-0.035813462,0.49924797,2.8943997e-14,7.370997e-15,2.346101,0.24864689,-8.4663785e-05,0.00072052085,0.6666667,0.120514035,282.44827,7.735102,0.033628136,3.819696,fsrq,16,2.2557700065511943e-12,6.74157174529455e-10,8.694706760126181e-11,2.9433941395318186e-11,7.237681049106215e-13,4.061931346832637e-12,AGN,Non-PSR
