,model name,TSS Value,setting,TP,FN,TN,FP
0,サポートベクターマシン(ploy),0.65,"{'C': 5, 'class_weight': None, 'degree': 1, 'gamma': 0.7000000000000002, 'kernel': 'poly'}",52,28,1053,0
1,サポートベクターマシン(RBFカーネル),0.7818019943019943,"{'C': 9, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'rbf'}",63,17,1047,6
2,サポートベクターマシン(linear),0.6837013295346629,"{'C': 15, 'class_weight': 'balanced', 'degree': 1, 'gamma': 0.01, 'kernel': 'linear'}",55,25,1049,4
3,ガウシアンナイーブベイズ,0.6365503323836657,no-setting,51,29,1052,1
4,ベルヌーイナイーブベイズ,0.7156576448243115,no-setting,59,21,1030,23
5,ロジスティック回帰,0.9030033238366572,no-setting,73,7,1043,10
6,k近傍法,0.6981006647673313,"{'algorithm': 'auto', 'leaf_size': 20, 'n_neighbors': 3}",56,24,1051,2
7,勾配ブースティング,0.7490503323836657,"{'max_depth': 5, 'max_features': 'sqrt', 'min_samples_leaf': 80, 'min_samples_split': 4, 'subsample': 0.7999999999999999}",60,20,1052,1
8,ランダムフォレスト,0.6865503323836657,no-setting,55,25,1052,1
